,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,0.98,0.81,0.88,0.88,0.74,0.81,0.86,0.52,0.7,0.58,0.59,0.59,0.58,0.41
f_1,0.85,1.0,1.29,1.07,0.86,0.72,0.61,0.68,0.67,0.67,0.62,0.59,0.55,0.49,0.42,0.54
e_1,1.01,0.78,1.0,1.11,1.03,0.88,0.74,0.99,0.65,0.82,0.68,0.7,0.71,0.62,0.52,0.69
c_1,1.26,0.92,0.91,1.0,1.28,0.7,0.71,0.48,0.55,0.69,0.52,0.6,0.61,0.6,0.63,0.63
b_1,1.12,1.15,0.98,0.78,1.0,1.57,0.79,0.76,0.64,0.67,0.74,0.64,0.6,0.55,0.62,0.53
a_1,1.13,1.41,1.13,1.41,0.64,1.0,0.8,0.65,0.71,0.81,0.8,0.88,0.7,0.74,0.7,0.71
h_1,1.37,1.65,1.38,1.39,1.28,1.18,1.0,0.89,0.86,1.11,0.81,0.89,0.87,0.73,0.84,0.94
d_0,1.29,1.38,0.98,2.11,1.41,1.46,1.17,1.0,0.89,1.06,1.11,1.03,0.98,0.89,0.84,1.04
c_0,1.19,1.57,1.56,1.71,1.5,1.37,1.17,1.12,1.0,1.13,1.27,0.93,0.89,1.0,0.78,0.92
g_1,1.88,1.46,1.26,1.57,1.5,1.2,0.93,0.94,0.94,1.0,0.89,1.2,0.74,0.77,0.89,0.85
b_0,1.37,1.68,1.5,1.9,1.33,1.15,1.27,0.92,0.77,1.11,1.0,0.98,0.99,1.22,1.09,0.88
f_0,1.73,1.56,1.47,1.61,1.66,1.12,1.09,1.04,1.04,0.88,1.0,1.0,1.03,0.98,1.35,0.7
h_0,1.7,1.91,1.43,1.61,1.68,1.37,1.16,1.04,1.1,1.34,1.02,1.01,1.0,0.93,0.85,1.12
a_0,1.66,1.83,1.66,1.71,1.9,1.37,1.4,1.05,0.99,1.34,0.85,0.96,1.05,1.0,0.98,1.02
e_0,1.7,2.23,1.9,1.58,1.77,1.42,1.11,1.24,1.3,1.1,1.04,0.77,1.18,1.02,1.0,1.02
g_0,2.33,1.85,1.38,1.72,2.0,1.55,1.07,0.95,1.15,1.18,1.11,1.45,0.88,1.02,1.01,1.0
