,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.51,0.14,0.15,0.18,0.13,0.16,0.2,0.18,0.21,0.3,0.23,0.2,0.22,0.15,,0.15
d_1,0.18,1.51,0.16,0.15,0.16,0.17,0.19,0.16,0.34,,0.2,0.17,0.26,0.14,0.19,0.15
f_1,0.27,0.17,1.52,0.13,0.16,0.12,0.2,0.2,0.2,0.22,,0.18,0.19,0.18,0.13,0.2
c_1,0.13,0.17,0.21,1.55,0.31,0.14,0.2,0.14,,0.18,0.23,0.11,0.23,0.18,0.17,0.22
b_1,0.2,0.14,0.17,0.11,1.57,0.24,0.23,0.17,0.17,0.2,0.19,,0.28,0.18,,0.22
a_1,0.17,0.17,0.18,0.19,0.15,1.71,0.18,0.22,0.19,0.25,,0.23,0.2,,0.2,0.25
h_1,0.38,0.36,0.43,0.47,0.34,0.33,1.62,0.45,0.47,0.4,0.44,0.48,,0.33,0.26,0.68
g_1,0.4,0.64,0.36,0.29,0.43,0.27,0.49,1.71,0.46,0.48,0.57,0.52,0.29,0.35,0.35,
c_0,0.46,0.45,0.47,,0.42,0.37,0.61,0.53,1.46,0.61,0.51,0.78,0.39,0.53,0.5,0.55
d_0,0.49,,0.48,0.83,0.48,0.33,0.65,0.34,0.37,1.44,0.57,0.56,0.61,0.43,0.35,0.45
f_0,0.43,0.52,,0.42,0.47,,0.56,0.57,0.61,0.49,1.49,0.49,0.68,,0.96,0.49
b_0,0.41,0.58,0.52,0.57,,0.3,0.51,0.52,0.54,0.45,0.48,1.49,0.84,0.98,0.36,0.44
h_0,0.53,0.44,0.86,0.55,0.58,0.39,,1.07,0.95,0.74,0.55,0.46,,0.57,0.6,0.93
a_0,0.54,0.57,0.48,0.43,0.36,,0.69,0.47,0.51,0.57,,0.39,0.79,1.62,,0.75
e_0,,0.46,0.58,0.41,,0.56,0.75,0.63,0.52,0.8,0.42,0.6,0.7,,1.64,0.57
g_0,0.62,0.99,0.51,0.59,0.52,0.45,0.58,,0.62,0.73,0.9,0.97,0.66,0.55,0.6,
