,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.47,2.29,1.55,1.7,1.61,1.42,2.81,3.86,2.89,3.11,3.58,3.05,4.07,3.81,4.46,3.13
e_1,1.61,2.47,1.42,2.13,1.69,1.62,3.36,5.26,3.27,3.46,3.77,4.18,4.31,3.95,4.61,3.45
d_1,1.69,1.75,2.56,1.46,1.6,1.74,3.15,3.1,2.95,5.18,4.12,4.05,4.79,3.88,4.44,4.01
c_1,1.63,1.5,1.8,2.61,2.43,1.83,2.95,2.76,3.47,2.75,2.67,3.69,4.83,3.47,4.27,3.57
b_1,1.63,1.54,1.66,1.69,2.8,2.9,3.13,3.4,3.23,3.7,3.33,3.5,4.05,3.13,4.78,3.61
a_1,1.87,1.67,1.65,1.71,1.38,3.38,3.53,4.16,3.61,3.99,4.64,3.87,4.81,3.87,4.58,3.9
h_1,2.08,1.65,1.8,1.72,1.7,1.57,4.22,3.47,4.05,3.23,3.61,3.65,4.34,3.61,5.85,3.81
d_0,1.7,1.43,1.54,2.64,1.98,1.49,3.46,4.37,3.31,2.88,3.49,3.84,4.67,3.85,5.11,4.46
g_1,1.75,1.66,2.33,1.57,1.65,1.69,2.96,3.17,4.75,3.61,3.57,5.12,4.23,3.86,3.95,3.89
c_0,1.97,1.84,1.69,1.67,1.44,1.54,3.53,4.2,3.36,4.59,5.98,3.95,5.04,5.29,5.27,4.32
b_0,1.85,1.78,1.84,1.8,1.44,1.33,3.7,3.98,3.51,3.61,4.89,4.1,5.16,6.61,5.0,4.03
f_0,1.68,1.46,1.79,1.76,2.04,1.7,3.57,3.9,3.39,3.71,4.04,4.9,4.86,4.04,4.14,6.61
h_0,2.02,1.67,1.74,1.71,1.85,1.61,2.78,3.23,4.23,3.23,3.62,3.79,4.44,3.76,5.22,3.67
a_0,1.84,1.61,1.78,1.98,1.92,1.55,3.79,3.85,3.44,3.37,3.32,3.74,4.94,5.3,4.81,3.66
g_0,1.57,1.63,2.11,1.82,1.77,1.85,2.95,3.32,3.29,3.57,3.82,4.93,4.62,3.83,4.15,4.4
e_0,1.95,1.47,1.88,1.69,1.81,1.75,3.56,3.23,3.8,3.5,4.17,3.48,5.39,4.41,4.61,5.72
