,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.35,1.03,1.04,0.86,0.86,0.6,0.58,0.71,0.63,0.59,,0.54,0.43,0.54,0.43
e_1,0.74,1.0,0.95,1.0,0.7,0.65,0.71,0.72,0.69,0.83,0.71,0.75,0.6,0.61,0.52,
d_1,0.97,1.05,1.0,0.84,0.81,0.87,0.74,0.57,0.97,,0.6,0.63,0.72,0.44,0.46,0.61
c_1,0.96,1.0,1.19,1.0,1.23,0.83,0.83,0.72,,0.49,0.58,0.67,0.62,0.71,0.57,0.54
b_1,1.16,1.42,1.23,0.81,1.0,1.07,0.59,0.86,0.62,0.65,,0.58,0.75,0.7,0.76,0.48
a_1,1.16,1.53,1.14,1.21,0.93,1.0,1.0,,0.65,0.71,0.81,0.69,0.89,,0.57,
h_1,1.66,1.4,1.35,1.21,1.7,1.0,1.0,1.08,0.75,0.97,0.77,0.82,,0.73,1.09,0.79
g_1,1.72,1.39,1.75,1.39,1.16,,0.93,1.0,0.9,1.12,0.92,1.14,0.75,0.8,,0.87
c_0,1.4,1.45,1.03,,1.62,1.54,1.34,1.11,1.0,0.75,1.66,0.91,0.94,0.92,0.76,0.83
d_0,1.6,1.2,,2.04,1.55,1.4,1.04,0.89,1.33,1.0,0.85,0.96,0.92,0.67,0.94,0.79
b_0,1.7,1.4,1.67,1.71,,1.24,1.3,1.09,0.6,1.18,1.0,0.88,0.85,1.36,0.92,0.82
f_0,,1.33,1.58,1.5,1.72,1.45,1.22,0.88,1.1,1.04,1.14,1.0,0.85,1.04,0.61,1.42
h_0,1.87,1.68,1.39,1.63,1.34,1.12,,1.33,1.06,1.09,1.18,1.18,,1.04,1.17,0.84
a_0,2.34,1.63,2.29,1.41,1.43,,1.36,1.26,1.09,1.5,0.74,0.96,0.96,1.0,0.9,0.96
g_0,1.86,1.93,2.15,1.74,1.31,1.75,0.92,,1.32,1.06,1.09,1.64,0.86,1.11,,
e_0,2.34,,1.64,1.86,2.08,,1.26,1.15,1.21,1.27,1.22,0.71,1.2,1.04,,1.0
