,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.77,0.93,1.14,0.93,0.72,0.51,0.59,0.47,0.39,0.46,0.41,0.38,0.35,0.31,0.36
f_1,1.3,1.0,0.88,1.0,0.81,0.62,0.43,0.52,0.48,0.43,0.42,0.39,0.32,0.28,0.35,0.35
d_1,1.07,1.15,1.0,0.89,0.89,0.72,0.5,0.46,0.38,0.58,0.4,0.45,0.35,0.34,0.34,0.28
c_1,0.88,1.02,1.09,1.0,1.22,0.78,0.52,0.35,0.44,0.39,0.41,0.32,0.37,0.31,0.3,0.35
b_1,1.06,1.24,1.11,0.83,1.0,1.21,0.55,0.45,0.52,0.54,0.44,0.43,0.41,0.38,0.31,0.35
a_1,1.41,1.56,1.32,1.29,0.86,1.0,0.73,0.66,0.6,0.57,0.53,0.65,0.49,0.51,0.48,0.42
h_1,1.97,2.3,2.01,1.91,1.79,1.35,1.0,0.83,1.15,0.8,0.8,0.75,0.69,0.61,0.62,0.73
d_0,1.69,1.91,2.14,2.81,2.31,1.54,1.22,1.0,1.15,0.76,0.88,0.81,0.77,0.78,0.78,0.8
g_1,2.18,2.07,2.62,2.23,1.97,1.68,0.92,0.85,1.0,0.95,1.01,0.77,0.64,0.71,0.65,0.64
c_0,2.45,2.27,1.78,2.52,1.81,1.87,1.23,1.31,1.06,1.0,0.98,1.27,0.84,0.77,0.87,0.78
f_0,2.13,2.31,2.57,2.49,2.37,1.85,1.27,1.08,1.04,1.04,1.0,0.95,0.87,1.18,0.83,0.67
b_0,2.43,2.52,2.2,3.11,2.35,1.5,1.34,1.2,1.29,0.79,1.0,1.0,0.92,0.88,1.17,0.9
h_0,2.65,3.02,2.87,2.7,2.52,2.02,1.46,1.3,1.59,1.17,1.17,1.1,1.0,0.85,0.92,1.02
e_0,2.79,3.41,2.97,3.09,2.61,2.05,1.62,1.36,1.49,1.38,0.92,1.12,1.18,1.0,1.2,0.97
a_0,3.1,2.89,2.94,3.27,3.2,2.25,1.62,1.35,1.53,1.16,1.18,0.85,1.13,0.83,1.0,0.96
g_0,2.89,2.94,3.52,2.75,2.8,2.27,1.33,1.26,1.51,1.34,1.46,1.17,0.97,1.03,1.04,1.0
