,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.95,0.82,0.51,0.51,0.43,0.29,0.32,0.32,0.34,0.3,0.23,0.3,0.27,0.24,0.19,0.23
e_1,0.54,0.95,0.5,0.62,0.51,0.34,0.36,0.34,0.54,0.32,0.35,0.32,0.31,0.26,0.22,0.26
d_1,0.63,0.59,0.96,0.44,0.43,0.3,0.36,0.31,0.32,0.52,0.33,0.34,0.33,0.27,0.26,0.23
c_1,0.59,0.55,0.62,0.95,0.78,0.35,0.37,0.34,0.28,0.21,0.32,0.22,0.27,0.24,0.27,0.22
b_1,0.68,0.58,0.62,0.46,0.94,0.69,0.44,0.37,0.37,0.33,0.3,0.24,0.34,0.21,0.26,0.25
a_1,0.79,0.7,0.77,0.58,0.43,0.94,0.5,0.45,0.34,0.42,0.4,0.44,0.41,0.19,0.27,0.3
h_1,1.13,0.84,0.9,0.81,0.64,0.53,0.79,0.59,0.52,0.39,0.43,0.39,0.36,0.31,0.33,0.47
g_1,0.91,0.83,1.17,0.87,0.64,0.49,0.53,0.77,0.47,0.52,0.61,0.42,0.4,0.41,0.39,0.31
d_0,0.9,0.78,0.64,1.4,0.82,0.68,0.57,0.57,0.72,0.38,0.52,0.4,0.45,0.4,0.35,0.38
c_0,1.08,0.94,0.92,0.85,0.62,0.52,0.7,0.56,0.62,0.72,0.48,0.87,0.5,0.5,0.42,0.43
f_0,0.89,0.8,1.0,0.9,0.88,0.57,0.71,0.53,0.57,0.59,0.71,0.45,0.51,0.36,0.7,0.42
b_0,1.09,0.83,1.04,1.13,0.64,0.43,0.63,0.56,0.64,0.46,0.55,0.71,0.57,0.76,0.44,0.48
h_0,1.32,1.03,1.03,0.93,0.73,0.57,0.59,0.8,0.63,0.56,0.56,0.57,0.48,0.48,0.41,0.52
a_0,1.09,0.97,1.16,1.04,0.99,0.48,0.79,0.59,0.59,0.55,0.56,0.44,0.57,0.66,0.51,0.49
e_0,1.22,0.83,1.1,0.99,0.87,0.73,0.8,0.61,0.72,0.58,0.5,0.6,0.67,0.45,0.65,0.4
g_0,1.09,0.98,1.42,1.05,0.9,0.68,0.63,0.6,0.58,0.74,0.83,0.59,0.57,0.5,0.57,0.43
