,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.15,45.82,76.86,93.68,84.24,83.64,29.0,17.05,21.0,18.31,20.07,18.34,13.31,18.8,12.54,
f_1,93.79,1.15,92.23,79.62,114.56,123.0,19.33,19.29,32.0,19.42,,17.73,6.87,14.46,12.54,13.71
c_1,85.07,91.63,1.15,109.83,102.29,90.91,22.89,10.78,24.89,,16.06,23.13,15.21,26.86,17.55,19.35
d_1,135.48,112.32,104.13,1.15,95.47,83.64,22.31,,17.23,18.85,21.62,19.7,11.51,19.79,7.98,20.56
b_1,114.31,116.07,60.91,109.83,1.15,110.05,32.22,22.91,29.22,21.37,35.12,,13.31,,10.64,20.56
a_1,166.27,112.32,179.33,159.25,71.6,1.15,41.43,29.32,25.85,49.31,29.58,,26.62,,27.0,
h_1,152.42,82.9,97.82,86.08,98.76,99.57,2.0,15.93,25.85,17.81,14.05,14.38,,16.35,14.04,20.56
d_0,45.16,91.63,87.24,,130.18,99.57,19.77,2.85,26.88,19.42,15.61,17.73,12.17,13.43,15.26,14.3
g_1,107.59,158.27,140.35,113.75,98.76,116.17,24.86,29.32,2.0,32.05,20.81,31.29,11.83,,,
c_0,101.61,80.98,,55.88,124.52,83.64,27.19,25.28,39.53,2.89,22.48,22.17,10.92,22.12,12.54,13.71
f_0,107.59,,89.67,132.71,98.76,99.57,29.0,19.81,22.4,20.68,3.14,24.18,26.62,17.9,9.75,20.56
b_0,152.42,145.08,134.5,144.77,,,30.0,25.28,33.6,10.86,22.48,2.86,14.69,26.86,18.47,
h_0,101.61,108.81,80.7,86.08,63.64,104.55,,24.43,30.55,16.44,15.61,16.62,,16.35,19.5,20.56
a_0,192.53,248.71,269.0,212.33,,,66.92,27.15,,40.06,29.58,17.16,21.3,2.87,21.94,
g_0,98.86,139.28,94.94,88.47,130.18,139.4,27.19,28.19,,23.74,33.06,25.33,13.74,26.86,,23.5
e_0,,204.82,248.31,187.35,220.31,,45.79,34.9,,49.31,16.53,,32.77,,17.55,3.07
