,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.9,1.2,1.01,0.92,0.69,0.62,0.7,0.69,0.61,0.64,0.56,0.52,0.58,0.42,0.52
d_1,1.14,1.0,1.05,0.82,0.87,0.86,0.73,0.66,0.57,0.88,0.68,0.62,0.62,0.59,0.61,0.49
e_1,0.84,0.94,1.0,1.19,0.93,0.82,0.7,0.93,0.72,0.62,0.69,0.79,0.61,0.58,0.68,0.63
c_1,1.01,1.24,0.84,1.0,1.33,0.99,0.65,0.47,0.63,0.58,0.54,0.57,0.6,0.56,0.54,0.59
b_1,1.07,1.13,1.04,0.77,1.0,1.2,0.82,0.67,0.73,0.76,0.63,0.64,0.64,0.54,0.58,0.65
a_1,1.38,1.17,1.18,1.03,0.85,1.0,0.9,0.79,0.86,0.72,0.77,0.7,0.77,0.67,0.66,0.6
h_1,1.59,1.32,1.44,1.59,1.25,1.12,1.0,0.91,1.05,0.81,0.89,0.82,0.84,0.73,0.74,0.97
d_0,1.45,1.54,1.1,2.05,1.56,1.3,1.11,1.0,1.0,0.74,0.93,0.95,0.91,0.83,0.88,0.86
g_1,1.49,1.74,1.36,1.56,1.4,1.16,0.97,0.92,1.0,0.98,0.96,1.0,0.8,0.93,0.83,0.93
c_0,1.62,1.15,1.65,1.73,1.23,1.37,1.19,1.34,1.06,1.0,1.41,1.01,0.96,0.96,0.92,0.86
b_0,1.5,1.45,1.47,1.85,1.58,1.17,1.14,1.03,1.06,0.75,1.0,0.98,1.03,1.24,1.05,0.91
f_0,1.71,1.54,1.36,1.74,1.56,1.45,1.18,1.03,0.98,0.97,1.02,1.0,0.97,0.87,1.29,0.77
h_0,1.98,1.6,1.67,1.71,1.48,1.24,1.16,1.09,1.27,0.99,1.02,0.99,1.0,0.9,0.87,1.08
a_0,1.69,1.66,1.61,1.75,1.9,1.63,1.4,1.17,1.1,1.06,0.86,1.13,1.12,1.0,0.99,1.03
e_0,2.24,1.66,1.58,1.88,1.8,1.44,1.29,1.12,1.2,1.08,0.99,0.77,1.21,1.05,1.0,0.88
g_0,1.87,2.02,1.6,1.73,1.55,1.62,1.06,1.16,1.08,1.14,1.13,1.2,0.91,0.93,1.14,1.0
