,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.38,2.32,2.01,2.14,1.78,0.9,0.72,0.71,0.51,0.57,0.69,0.53,0.52,0.83,0.55
f_1,2.25,1.06,1.94,2.0,2.01,1.53,0.56,0.66,0.82,0.6,0.67,0.68,0.34,0.56,0.44,0.48
c_1,1.78,2.31,1.06,2.9,2.49,1.6,0.73,0.41,0.81,0.74,0.5,0.62,0.51,0.53,0.5,0.45
d_1,2.42,2.24,2.09,1.06,2.3,1.9,0.8,1.29,0.56,0.74,0.63,0.64,0.48,0.57,0.61,0.35
b_1,2.73,2.77,1.5,2.36,1.06,3.03,1.04,0.79,1.0,1.02,1.16,0.71,0.74,0.66,0.7,0.62
a_1,3.6,4.23,3.81,3.31,1.62,1.07,1.33,1.05,1.29,0.89,1.38,0.93,0.86,1.74,0.88,0.8
h_1,5.71,7.12,6.48,5.78,5.16,4.34,1.32,1.47,2.07,1.55,1.65,1.39,1.58,1.44,1.31,1.45
d_0,4.27,6.07,7.73,7.22,6.75,6.06,2.82,1.48,2.67,1.71,1.94,1.88,1.72,1.53,1.96,1.67
g_1,6.8,6.69,7.33,6.56,6.33,6.59,2.11,2.0,1.34,1.82,2.0,1.85,1.28,1.67,1.64,1.74
c_0,7.68,6.82,13.53,4.35,6.45,6.27,3.14,3.28,2.46,1.51,2.41,1.88,1.58,1.76,1.69,1.48
b_0,6.63,6.65,10.22,6.38,8.96,5.34,2.69,2.48,2.42,1.32,1.49,1.79,1.58,2.37,1.83,1.5
f_0,7.14,11.68,8.08,7.35,7.43,6.5,3.67,2.47,2.01,2.56,2.33,1.5,1.8,2.16,2.65,1.21
h_0,8.65,10.76,9.07,8.83,7.06,7.09,3.59,2.65,3.64,2.59,2.77,2.52,2.45,2.33,2.11,1.74
a_0,9.03,9.42,10.22,8.78,10.51,11.43,3.73,3.66,3.61,2.53,1.67,2.5,2.0,1.59,2.33,1.94
e_0,12.3,14.17,10.17,9.66,8.68,7.05,3.38,2.95,3.34,3.07,2.61,1.49,2.23,2.22,1.57,1.88
g_0,10.45,10.39,10.06,11.67,9.22,8.13,3.01,3.45,4.59,3.2,2.9,3.02,1.9,2.64,2.59,2.51
