,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.37,1.39,1.27,1.17,1.26,0.58,0.79,0.52,0.52,0.54,0.99,0.35,0.48,0.5,0.54
e_1,0.84,0.42,1.22,1.49,1.36,1.47,0.72,0.76,0.61,0.72,0.54,0.68,0.53,0.69,1.38,0.59
d_1,1.19,1.55,0.39,1.23,1.32,1.43,0.79,0.49,0.62,1.43,0.55,0.58,0.45,0.5,0.44,0.34
c_1,1.24,1.12,1.45,0.38,1.29,1.42,0.7,0.77,1.01,0.35,0.65,0.71,0.53,0.46,0.71,0.42
b_1,1.58,1.24,1.35,0.83,0.36,1.29,0.68,0.69,0.68,0.55,1.22,0.67,0.46,0.63,0.83,0.53
a_1,1.41,1.41,1.12,1.32,0.89,0.3,0.83,0.72,0.68,0.75,0.81,0.43,0.48,1.55,0.54,0.59
h_1,0.96,0.93,0.87,1.09,1.17,0.82,0.25,0.74,0.4,0.39,0.39,0.4,0.99,0.5,0.4,0.38
g_1,1.02,1.26,0.98,0.94,0.92,0.83,0.35,0.23,0.43,0.46,0.39,0.46,0.34,0.52,0.33,0.55
c_0,1.12,0.97,0.59,2.38,0.93,0.85,0.56,0.44,0.27,0.57,0.5,0.54,0.42,0.44,0.48,0.47
d_0,1.12,0.56,1.67,1.27,1.05,0.79,0.58,0.75,0.38,0.27,0.47,0.37,0.49,0.43,0.35,0.39
b_0,1.18,0.96,0.87,1.05,1.71,0.69,0.47,0.46,0.27,0.45,0.25,0.38,0.38,0.49,0.45,0.34
f_0,1.88,0.87,0.91,0.88,0.97,1.01,0.61,0.31,0.33,0.52,0.41,0.23,0.4,0.51,0.5,0.29
h_0,1.08,0.85,0.98,0.95,0.96,0.97,,0.56,0.4,0.35,0.4,0.34,0.7,0.37,0.43,0.37
a_0,1.11,0.8,1.08,1.05,1.07,,0.41,0.47,0.48,0.42,0.29,0.43,0.4,0.22,0.3,0.34
e_0,1.42,1.44,1.2,0.75,0.87,1.0,0.47,0.53,0.41,0.42,0.37,0.19,0.37,0.66,0.19,0.27
g_0,1.04,0.78,1.03,1.16,0.99,0.86,0.42,0.8,0.35,0.44,0.46,0.49,0.35,0.44,0.61,
