,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.01,0.06,0.08,0.11,0.12,0.17,0.24,0.25,0.27,0.23,0.26,0.27,0.28,0.38,0.3,
f_1,0.1,0.01,0.09,0.09,0.1,0.1,0.14,0.17,0.21,0.15,0.21,,0.21,0.45,0.33,0.28
d_1,0.07,0.06,0.01,0.08,0.08,,0.17,,0.16,0.24,0.21,0.21,0.19,0.3,0.18,0.29
c_1,0.05,0.06,0.06,0.01,0.09,0.07,0.16,0.08,0.14,,0.17,0.14,0.18,0.25,0.22,0.15
b_1,0.03,0.03,0.04,0.02,,0.08,0.1,0.09,0.1,0.14,,0.12,0.1,0.15,0.12,0.21
a_1,0.01,0.02,,0.02,0.01,,0.03,0.03,,0.04,0.03,0.04,0.05,,0.07,0.05
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
