,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.9,0.84,0.88,0.97,0.83,0.22,0.28,0.18,0.21,0.2,0.24,0.1,0.19,0.18,0.15
d_1,1.02,0.41,1.04,0.96,0.85,0.88,0.25,0.17,0.17,0.27,0.17,0.18,0.12,0.18,0.18,0.08
e_1,0.59,1.02,0.41,1.01,1.1,0.96,0.26,0.33,0.23,0.23,0.22,0.25,0.15,0.19,0.24,0.15
c_1,0.92,1.11,0.78,0.4,1.04,0.87,0.26,0.29,0.25,0.13,0.19,0.19,0.16,0.18,0.2,0.14
b_1,1.08,1.19,1.07,0.63,0.38,0.95,0.35,0.3,0.31,0.21,0.36,0.23,0.16,0.23,0.21,0.18
a_1,1.46,1.32,1.46,1.15,0.65,0.32,0.37,0.39,0.33,0.31,0.36,0.27,0.21,0.41,0.24,0.18
h_1,1.89,1.84,1.7,1.83,1.89,1.42,0.27,0.55,0.4,0.42,0.36,0.37,0.39,0.41,0.35,0.27
g_1,1.93,1.76,1.85,2.14,1.9,1.74,0.44,0.26,0.36,0.41,0.39,0.38,0.2,0.35,0.34,0.32
c_0,2.2,1.27,2.09,3.17,2.17,1.78,0.6,0.52,0.29,0.56,0.36,0.37,0.27,0.36,0.36,0.26
d_0,1.68,2.87,1.26,2.01,1.99,2.1,0.61,0.66,0.46,0.3,0.44,0.43,0.31,0.38,0.41,0.36
b_0,2.22,1.67,2.01,2.84,2.91,1.88,0.55,0.57,0.26,0.43,0.27,0.36,0.29,0.44,0.37,0.26
f_0,2.72,2.09,1.95,2.29,2.06,1.78,0.58,0.41,0.44,0.46,0.42,0.27,0.33,0.42,0.42,0.19
h_0,2.39,2.28,2.29,2.33,2.39,2.19,0.83,0.7,0.45,0.5,0.48,0.42,0.4,0.49,0.44,0.32
a_0,2.5,2.05,2.44,2.52,2.77,2.92,0.63,0.67,0.41,0.49,0.29,0.43,0.37,0.26,0.44,0.37
e_0,3.14,2.31,2.89,2.62,2.35,2.02,0.71,0.55,0.54,0.56,0.49,0.26,0.41,0.45,0.26,0.28
g_0,2.91,2.93,2.47,2.65,2.42,2.32,0.59,0.8,0.56,0.58,0.54,0.54,0.32,0.66,0.6,0.4
