,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.75,0.84,0.83,0.79,0.76,0.34,0.47,0.32,0.36,0.32,0.43,0.24,0.31,0.34,0.31
d_1,0.85,0.41,0.93,0.84,0.73,0.71,0.42,0.32,0.4,0.57,0.42,0.32,0.3,0.39,0.34,0.2
e_1,0.54,0.81,0.4,0.96,0.87,0.83,0.49,0.5,0.4,0.44,0.36,0.45,0.36,0.37,0.64,0.48
c_1,0.82,0.87,0.7,0.38,0.94,0.77,0.39,0.41,0.47,0.22,0.35,0.33,0.32,0.36,0.31,0.34
b_1,0.86,0.89,0.8,0.49,0.36,1.04,0.53,0.44,0.46,0.41,0.43,0.41,0.3,0.39,0.37,0.33
a_1,0.9,0.87,0.84,0.81,0.5,0.3,0.53,0.54,0.35,0.37,0.44,0.42,0.35,0.68,0.39,0.33
h_1,0.84,0.72,0.7,0.84,0.65,0.67,0.24,0.41,0.29,0.31,0.28,0.28,0.34,0.27,0.28,0.27
g_1,0.78,0.77,0.69,0.79,0.8,0.6,0.3,0.23,0.33,0.34,0.28,0.35,0.22,0.39,0.32,0.33
c_0,0.77,0.46,0.72,1.21,0.7,0.77,0.47,0.41,0.25,0.5,0.41,0.34,0.32,0.35,0.36,0.26
d_0,0.73,1.04,0.44,0.84,0.69,0.75,0.43,0.49,0.34,0.24,0.31,0.39,0.29,0.31,0.35,0.33
b_0,0.76,0.6,0.66,0.93,1.13,0.62,0.45,0.43,0.2,0.37,0.23,0.29,0.28,0.38,0.32,0.28
f_0,1.02,0.75,0.68,0.68,0.7,0.64,0.38,0.29,0.33,0.33,0.35,0.22,0.32,0.35,0.36,0.19
h_0,0.81,0.74,0.67,0.74,0.69,0.57,0.42,0.42,0.3,0.33,0.34,0.28,0.33,0.26,0.35,0.3
a_0,0.78,0.7,0.7,0.69,0.79,1.0,0.44,0.35,0.3,0.37,0.2,0.32,0.33,0.21,0.39,0.28
e_0,0.93,0.67,0.78,0.75,0.73,0.64,0.38,0.37,0.33,0.31,0.33,0.19,0.3,0.28,0.19,0.23
g_0,0.79,0.86,0.6,0.64,0.69,0.75,0.31,0.45,0.3,0.33,0.32,0.35,0.23,0.33,0.32,0.34
