,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.89,0.26,0.19,0.25,0.16,0.1,0.2,0.15,0.38,0.2,0.18,0.18,0.18,0.12,0.17,0.07
f_1,0.43,0.9,0.19,0.18,0.15,0.11,0.17,0.14,0.18,0.17,0.19,0.06,0.18,0.11,0.12,0.08
d_1,0.23,0.26,0.9,0.17,0.14,0.13,0.2,0.17,0.1,0.34,0.19,0.17,0.22,0.12,0.15,0.1
c_1,0.22,0.21,0.2,0.89,0.35,0.09,0.2,0.16,0.22,0.09,0.11,0.18,0.19,0.11,0.13,0.11
b_1,0.22,0.27,0.22,0.17,0.88,0.24,0.18,0.16,0.16,0.19,0.07,0.16,0.19,0.1,0.11,0.1
a_1,0.22,0.22,0.24,0.2,0.17,0.88,0.2,0.15,0.19,0.2,0.16,0.2,0.21,0.05,0.15,0.11
h_1,0.26,0.39,0.24,0.26,0.21,0.1,0.58,0.27,0.26,0.21,0.24,0.18,0.16,0.16,0.24,0.12
g_1,0.25,0.25,0.4,0.25,0.19,0.14,0.26,0.58,0.19,0.16,0.21,0.32,0.23,0.15,0.14,0.15
d_0,0.26,0.29,0.13,0.5,0.24,0.13,0.23,0.17,0.45,0.18,0.19,0.18,0.27,0.15,0.18,0.13
c_0,0.32,0.34,0.25,0.19,0.15,0.15,0.24,0.21,0.28,0.46,0.45,0.18,0.27,0.15,0.21,0.15
b_0,0.31,0.29,0.3,0.3,0.1,0.08,0.29,0.23,0.25,0.24,0.45,0.21,0.22,0.32,0.21,0.14
f_0,0.24,0.16,0.27,0.32,0.2,0.16,0.27,0.25,0.25,0.24,0.24,0.47,0.29,0.16,0.24,0.29
h_0,0.3,0.42,0.28,0.25,0.19,0.13,0.15,0.27,0.21,0.2,0.22,0.19,0.12,0.14,0.29,0.12
a_0,0.28,0.31,0.32,0.32,0.16,0.06,0.25,0.21,0.28,0.25,0.25,0.21,0.27,0.42,0.2,0.12
g_0,0.26,0.31,0.41,0.24,0.16,0.15,0.22,0.15,0.18,0.22,0.27,0.31,0.24,0.16,0.16,0.15
e_0,0.16,0.3,0.31,0.29,0.25,0.15,0.27,0.21,0.29,0.26,0.25,0.23,0.27,0.18,0.21,0.38
