,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,101.82,80.37,58.76,67.74,94.52,308.28,8023.61,10996.94,16078.14,16509.91,30148.0,25444.43,68807.52,83436.74,75685.55,146508.9
e_1,43.95,108.06,85.68,59.93,101.64,320.3,8580.75,19532.93,18933.35,22155.9,30319.05,43472.02,70613.54,82321.43,67495.17,171002.89
c_1,42.14,37.93,133.45,63.29,149.29,354.88,7954.7,9093.29,14955.91,7945.43,20832.96,34401.43,65273.84,85231.66,89680.16,134136.5
d_1,47.26,41.31,50.59,144.67,83.81,260.5,7999.98,8424.46,14980.79,31862.13,34443.34,33921.1,67882.25,84533.24,91690.79,126560.05
b_1,38.09,36.74,46.46,52.32,188.82,517.02,8094.07,9563.06,13273.2,15868.9,14148.68,37962.5,54867.86,66527.22,78382.4,105316.7
a_1,26.38,28.39,34.82,44.44,38.05,541.38,4544.78,6925.91,12027.15,10352.85,15907.05,23163.17,42638.26,35827.66,45085.44,69667.68
h_1,14.87,12.28,15.07,19.85,19.05,74.66,3611.16,2453.98,5615.04,4903.94,6996.52,8311.88,13032.21,19955.37,22075.27,48133.18
d_0,11.67,9.87,24.19,11.21,22.37,77.68,2111.59,3902.41,3917.2,3872.53,7292.89,7568.0,15029.45,20478.31,19405.66,35126.73
g_1,8.25,7.84,12.92,20.74,18.24,55.85,1353.57,2226.18,6461.3,4138.87,5791.72,11807.3,11762.89,14984.24,20692.65,23639.23
c_0,10.88,8.61,12.47,12.98,16.43,64.08,1709.01,2864.58,3626.78,6123.46,9797.08,7605.21,17220.13,20097.42,18691.07,30028.81
b_0,8.54,9.05,12.94,12.12,10.26,37.69,1527.88,2244.87,3559.13,3693.66,8388.43,7267.25,14827.88,27197.89,14990.43,28008.11
f_0,5.81,7.25,11.34,13.74,13.46,51.31,1321.82,1980.33,2469.51,3078.28,4680.22,10135.87,12248.84,13560.41,26527.81,23759.57
h_0,8.49,6.94,8.22,11.17,12.69,41.96,889.99,1492.57,3102.06,2558.84,3810.63,4940.07,7560.67,11801.98,13138.31,25431.55
a_0,5.98,6.61,8.53,9.22,10.37,22.07,1186.04,1263.57,2318.18,2248.32,2854.48,4903.66,8427.71,18254.22,12977.11,17556.18
e_0,6.3,3.48,8.27,10.11,12.72,31.55,1155.32,1524.37,2032.68,2277.98,4027.93,3562.05,9206.38,11812.57,19387.64,19411.3
g_0,5.36,4.18,7.46,10.31,10.43,46.06,718.8,1003.36,1557.5,2102.58,2861.85,5563.18,7939.22,10036.73,10492.82,12526.35
