,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.42,1.01,1.42,0.97,1.17,1.17,2.47,3.84,2.22,1.83,2.37,2.95,2.72,3.22,1.9,3.29
f_1,1.76,2.45,0.97,1.04,0.98,1.28,1.81,2.32,2.42,1.95,2.52,1.45,2.25,2.46,2.2,3.16
c_1,0.9,1.2,2.54,1.34,1.64,0.93,1.98,1.82,1.35,2.06,2.01,2.43,2.15,2.97,2.47,2.76
d_1,1.15,1.26,0.89,2.56,1.14,1.04,2.37,1.6,3.64,2.31,3.03,2.57,2.81,3.4,2.91,2.56
b_1,1.11,1.17,1.19,1.18,2.63,1.66,2.19,2.31,2.41,1.98,1.28,2.24,2.01,2.97,2.4,3.1
a_1,1.12,1.07,1.31,1.24,0.98,3.31,2.53,2.72,2.39,2.31,2.68,2.35,2.36,3.12,3.03,4.08
h_1,1.1,1.7,1.17,1.25,1.25,1.08,4.08,2.63,2.68,3.2,2.97,2.74,3.0,2.9,2.83,3.73
d_0,1.08,1.37,2.07,0.9,1.33,1.06,2.21,3.93,2.47,2.76,2.4,2.66,2.83,3.61,2.53,3.17
c_0,1.3,1.41,1.02,1.24,1.11,1.16,2.46,2.65,4.0,2.86,4.7,3.22,3.03,3.52,2.4,2.97
g_1,1.27,1.14,1.26,1.7,1.23,1.12,1.97,1.92,2.54,4.72,2.69,3.84,3.0,3.09,3.09,2.17
b_0,1.13,1.3,1.39,1.28,0.92,1.35,2.46,2.62,2.6,2.6,4.37,2.9,5.08,3.13,3.01,3.63
f_0,0.99,1.12,1.37,1.29,1.32,1.32,2.72,3.01,2.82,2.29,3.24,4.51,3.35,4.41,4.78,2.76
a_0,1.21,1.42,1.42,1.35,1.18,0.91,2.37,3.07,3.08,2.25,2.44,2.56,4.71,3.25,2.9,2.89
h_0,1.2,1.68,1.24,1.28,1.25,1.13,1.37,2.59,2.89,3.31,2.84,2.46,2.63,2.98,2.83,4.36
e_0,0.91,1.44,1.25,1.37,1.28,1.02,2.64,2.78,3.18,2.66,3.14,2.35,3.23,3.88,5.1,3.94
g_0,1.14,1.24,1.26,1.91,1.14,1.08,2.29,2.32,3.08,1.99,2.53,4.13,2.89,3.18,2.73,2.89
