,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,35.78,0.07,0.07,0.07,0.07,0.06,0.39,0.23,0.64,0.28,0.4,0.35,0.54,0.44,0.28,
f_1,0.13,36.75,0.05,0.06,0.07,0.06,0.27,0.33,0.39,0.5,0.41,,0.57,0.44,0.21,0.38
d_1,0.08,0.06,40.77,0.06,0.07,0.06,0.26,0.24,,0.8,0.41,0.42,0.62,0.5,0.54,0.33
c_1,0.06,0.06,0.08,42.67,0.11,0.08,0.35,0.34,0.37,,0.24,0.33,0.68,0.51,0.43,0.25
b_1,0.06,0.08,0.07,0.07,46.97,0.11,0.26,0.27,0.38,0.45,,0.35,0.82,0.56,0.31,0.32
a_1,0.07,0.07,0.04,0.08,0.08,73.82,0.31,0.31,0.46,0.27,0.3,0.33,0.48,0.67,,
h_1,0.23,0.36,0.27,0.21,0.29,0.22,26.27,1.19,1.41,1.24,1.65,1.95,,2.97,1.67,1.67
g_1,0.21,0.28,0.43,0.27,0.19,0.22,1.4,33.68,1.27,1.18,1.07,2.43,1.97,,1.51,1.59
d_0,0.32,0.38,,0.53,0.47,0.36,1.41,1.17,17.19,1.73,2.21,1.79,3.93,3.31,2.16,1.6
c_0,0.38,0.26,0.34,,0.23,0.32,1.92,2.02,2.04,19.33,4.06,2.41,2.02,3.95,2.05,
b_0,0.27,0.41,0.29,0.46,,0.34,1.89,1.48,2.29,1.67,21.3,1.92,3.23,3.27,3.16,1.98
f_0,0.38,,0.4,0.4,0.31,0.36,1.12,1.72,1.3,1.93,1.73,21.88,3.75,3.6,2.19,4.91
h_0,0.47,0.87,0.49,0.47,0.62,0.52,,2.35,3.97,2.34,2.91,2.93,,5.63,3.33,4.05
g_0,0.46,0.44,1.25,0.46,0.61,0.65,1.77,,2.51,2.06,3.19,5.08,3.87,,2.43,2.78
a_0,0.23,0.24,0.38,0.49,0.28,,1.36,1.11,2.08,3.46,2.77,1.5,4.83,,30.61,
e_0,,0.35,0.24,0.4,0.32,0.61,1.52,1.72,2.07,2.57,1.56,,2.79,3.68,,37.35
