,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,6.01,1.55,1.3,2.08,1.44,1.37,5.93,13.24,4.85,6.14,7.7,8.98,10.3,5.44,7.54,10.02
f_1,3.15,6.28,1.33,1.06,1.14,1.24,5.08,6.31,5.04,8.06,3.66,6.8,10.99,4.84,9.08,8.84
d_1,1.28,1.75,6.6,1.17,1.57,1.4,5.65,3.45,6.07,13.56,7.25,8.03,10.01,7.69,6.93,11.08
c_1,1.15,1.35,1.38,6.56,3.17,1.46,5.93,6.88,4.61,2.52,7.81,4.83,11.1,7.28,5.85,11.0
b_1,1.35,1.36,1.61,1.55,7.46,3.2,5.21,6.75,4.75,6.23,7.27,3.7,11.07,7.98,5.39,11.33
a_1,1.39,2.02,1.67,1.6,1.31,10.45,4.71,7.19,5.62,4.73,7.06,6.75,13.71,9.18,5.38,10.0
h_1,1.57,2.67,2.09,1.89,1.68,1.52,16.25,7.14,9.89,8.1,8.37,8.69,8.25,9.17,10.7,19.08
d_0,1.61,1.67,1.16,3.55,1.95,1.72,7.21,14.94,6.77,5.67,9.3,9.82,12.38,9.48,11.68,13.91
g_1,1.58,1.69,2.86,1.93,1.77,1.9,6.33,6.26,19.46,8.11,14.19,7.35,11.78,9.23,9.22,8.82
c_0,2.13,2.02,2.35,1.16,1.15,1.87,7.2,9.57,6.3,16.73,9.31,17.64,13.2,8.97,13.66,16.01
f_0,1.4,1.27,2.06,2.37,2.08,1.99,7.0,8.79,7.82,8.44,18.63,8.92,12.89,19.85,10.28,14.2
b_0,1.86,2.54,1.78,2.23,0.86,1.04,7.69,9.28,8.1,8.29,8.31,20.01,13.25,11.21,24.26,14.42
h_0,1.76,2.55,1.99,1.85,1.6,1.96,5.28,9.17,9.13,8.3,8.4,8.63,9.65,9.16,8.94,16.99
e_0,1.23,2.19,1.76,2.09,1.55,1.71,8.49,8.52,8.61,8.97,8.55,9.79,19.06,26.82,13.86,16.18
a_0,2.07,1.85,2.07,2.05,1.65,0.96,8.25,8.76,8.68,10.0,8.51,10.11,11.92,8.21,23.98,13.65
g_0,1.52,1.66,3.19,1.66,1.89,1.68,6.52,7.09,4.83,10.18,14.77,8.07,12.7,9.85,11.88,10.02
