,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,16.96,0.66,0.63,0.51,0.42,0.64,0.72,0.72,1.77,0.91,0.85,0.77,0.94,0.84,0.41,1.09
f_1,1.18,17.84,0.61,0.45,0.46,0.4,0.6,0.79,0.89,0.94,0.87,0.26,0.78,1.01,0.77,0.74
c_1,0.4,0.5,19.55,0.49,1.15,0.47,0.84,0.85,0.9,0.67,0.24,1.22,1.01,0.94,0.88,1.02
d_1,0.4,0.5,0.44,21.03,0.55,0.52,1.12,1.13,0.45,1.32,2.12,1.11,0.89,0.78,1.13,0.79
b_1,0.48,0.55,0.5,0.5,22.05,1.28,0.93,0.66,0.73,0.27,0.92,0.81,0.71,1.11,0.84,1.01
a_1,0.51,0.58,0.53,0.63,0.49,28.85,1.28,0.95,0.84,0.84,0.8,0.84,0.51,1.07,0.88,0.9
h_1,0.58,1.08,0.51,0.74,0.78,0.45,6.06,1.6,1.09,1.13,1.13,0.98,1.01,0.62,1.52,1.82
g_1,0.59,0.59,0.62,1.39,0.56,0.46,1.06,7.17,0.86,1.12,0.96,2.19,0.76,1.07,1.38,0.65
d_0,0.61,0.72,1.88,0.27,0.79,0.58,0.98,0.93,3.28,1.3,0.76,1.19,1.19,1.37,1.3,1.05
b_0,0.74,0.67,0.73,0.91,0.23,0.56,1.19,1.19,0.96,3.9,1.5,1.57,3.45,1.46,1.43,1.32
c_0,0.78,0.73,0.38,0.87,0.4,0.75,1.14,1.12,1.27,3.39,3.46,1.34,1.49,1.36,1.55,1.23
f_0,0.52,0.26,0.85,0.77,0.85,0.57,1.18,1.28,1.19,1.38,1.08,5.08,1.57,1.43,3.82,1.19
a_0,0.61,0.73,0.7,0.89,0.82,0.25,0.95,0.99,1.2,1.44,1.17,1.15,4.82,1.91,1.4,1.52
h_0,0.71,1.19,0.75,0.83,0.56,0.56,0.56,1.71,0.91,1.14,1.03,1.19,1.21,0.56,0.92,1.46
e_0,0.42,0.92,0.79,0.7,0.6,0.51,1.09,1.06,1.1,1.48,1.25,1.68,1.78,1.63,4.71,1.63
g_0,0.75,0.52,0.64,1.47,0.6,0.63,0.91,0.51,0.97,1.73,1.22,2.41,1.41,1.15,1.26,0.95
