,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,1.22,1.25,1.51,3.49,18.68,24.73,32.94,31.62,44.34,52.13,62.28,87.01,78.24,115.55
e_1,0.79,1.0,1.41,1.16,1.68,3.64,20.52,30.47,34.84,33.59,40.71,56.14,64.86,83.17,99.87,120.85
c_1,0.82,0.72,1.0,1.1,1.73,3.19,17.41,14.99,26.39,23.18,27.89,40.43,56.75,71.56,76.05,87.01
d_1,0.81,0.85,0.9,1.0,1.22,2.49,14.9,18.55,21.95,33.7,37.38,35.8,51.45,69.66,67.72,69.24
b_1,0.67,0.6,0.58,0.82,1.0,3.49,14.35,14.12,21.07,22.96,28.74,35.0,42.78,51.96,58.14,69.54
a_1,0.28,0.27,0.31,0.39,0.3,1.0,6.67,6.6,10.95,9.19,15.67,15.49,21.3,24.29,24.57,30.83
h_1,0.05,0.05,0.06,0.07,0.07,0.15,1.0,1.08,1.84,1.63,2.05,2.56,3.41,4.01,4.16,6.34
d_0,0.04,0.03,0.07,0.05,0.07,0.15,0.9,1.0,1.44,1.19,1.78,1.99,2.8,3.78,3.87,5.1
g_1,0.03,0.03,0.04,0.04,0.05,0.09,0.53,0.7,1.0,1.05,1.28,1.83,1.77,2.4,2.88,3.4
c_0,0.03,0.03,0.04,0.03,0.04,0.1,0.61,0.84,0.95,1.0,1.61,1.48,2.28,2.98,2.71,3.54
b_0,0.02,0.02,0.03,0.03,0.04,0.07,0.47,0.56,0.82,0.62,1.0,1.29,1.7,2.7,1.84,2.76
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.38,0.49,0.53,0.65,0.82,1.0,1.33,1.62,2.27,1.85
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.29,0.34,0.59,0.46,0.6,0.75,1.0,1.27,1.3,1.81
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.27,0.42,0.33,0.39,0.61,0.76,1.0,1.13,1.1
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.26,0.33,0.36,0.5,0.43,0.8,0.95,1.0,1.32
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.19,0.3,0.29,0.37,0.54,0.57,0.85,0.81,1.0
