,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.58,0.97,1.0,0.89,0.95,0.56,0.49,0.47,0.43,0.4,0.47,0.44,0.36,0.51,0.4
f_1,1.0,0.41,0.81,0.97,0.76,0.83,0.34,0.59,0.4,0.38,0.38,0.58,0.35,0.24,0.34,0.31
d_1,0.9,0.97,0.39,0.8,0.86,0.87,0.46,0.33,0.62,0.44,0.44,0.37,0.4,0.32,0.42,0.23
c_1,0.69,0.88,1.06,0.39,1.13,0.87,0.5,0.43,0.25,0.5,0.38,0.36,0.4,0.3,0.34,0.32
b_1,0.95,1.05,0.94,0.52,0.36,0.99,0.52,0.55,0.4,0.42,0.63,0.52,0.32,0.4,0.45,0.42
a_1,0.87,0.96,0.92,1.01,0.54,0.3,0.57,0.63,0.4,0.42,0.5,0.33,1.02,0.38,0.39,0.5
h_1,0.74,0.89,0.72,0.79,0.79,0.69,0.25,0.43,0.34,0.36,0.35,0.4,0.33,0.42,0.32,0.36
g_1,0.79,0.92,0.81,0.79,0.69,0.63,0.34,0.23,0.4,0.36,0.39,0.41,0.37,0.32,0.33,0.37
d_0,0.48,0.83,0.97,1.01,0.87,0.95,0.46,0.41,0.26,0.34,0.36,0.3,0.36,0.31,0.37,0.33
c_0,0.76,0.81,0.47,1.41,1.08,0.75,0.45,0.44,0.49,0.25,0.4,0.34,0.37,0.35,0.37,0.27
b_0,0.81,0.81,0.62,0.99,1.27,0.66,0.41,0.43,0.37,0.2,0.23,0.34,0.39,0.33,0.34,0.3
f_0,0.74,1.37,0.68,0.9,0.76,0.85,0.4,0.29,0.39,0.32,0.3,0.22,0.31,0.37,0.4,0.2
a_0,0.7,0.92,0.78,0.76,1.08,0.76,0.41,0.38,0.35,0.3,0.23,0.33,0.23,0.31,0.41,0.34
h_0,0.71,0.96,0.79,0.8,0.69,0.62,0.56,0.38,0.35,0.3,0.33,0.29,0.32,0.41,0.37,0.33
e_0,1.22,1.07,0.71,0.82,0.78,0.71,0.42,0.44,0.36,0.32,0.37,0.19,0.26,0.24,0.2,0.27
g_0,0.87,0.84,0.76,0.86,0.71,0.65,0.32,0.59,0.35,0.35,0.37,0.37,0.28,0.23,0.31,0.36
