,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.48,0.42,0.35,0.5,0.51,0.33,0.52,0.92,0.58,0.49,0.55,0.61,0.69,0.54,0.24,0.53
f_1,0.74,1.5,0.41,0.49,0.33,0.34,0.57,0.51,0.6,0.42,0.6,0.25,0.48,0.47,0.41,0.68
d_1,0.56,0.53,1.54,0.32,0.47,0.41,0.54,0.2,0.86,0.46,0.5,0.56,0.57,0.47,0.38,0.47
c_1,0.51,0.39,0.56,1.57,0.75,0.36,0.46,0.46,0.17,0.45,0.55,0.52,0.62,0.38,0.5,0.49
b_1,0.38,0.6,0.44,0.42,1.62,0.67,0.56,0.7,0.57,0.64,0.39,0.53,0.57,0.51,0.49,0.47
a_1,0.59,0.62,0.47,0.5,0.31,1.73,0.76,0.71,0.46,0.38,0.55,0.48,0.6,0.31,0.61,0.66
h_1,0.7,0.98,0.86,0.7,0.65,0.44,1.67,0.75,0.85,0.93,0.87,0.76,0.52,0.67,0.57,0.98
d_0,0.67,0.88,0.46,1.33,0.65,0.55,0.76,1.45,0.77,0.74,0.81,0.89,0.93,0.62,0.66,0.81
c_0,0.79,0.91,0.77,0.53,0.58,0.78,0.9,0.75,1.5,0.82,1.42,0.91,0.96,0.74,0.75,0.96
g_1,0.69,0.68,1.23,0.71,0.52,0.73,0.77,0.82,0.81,1.79,0.79,1.13,0.8,0.58,0.92,0.44
b_0,0.84,0.82,0.9,0.72,0.27,0.7,0.94,1.02,0.85,0.84,1.54,0.89,0.97,1.17,0.82,0.95
f_0,0.7,0.53,0.86,0.92,0.65,0.74,0.93,0.95,1.04,0.95,1.04,1.56,1.04,0.75,1.24,0.88
h_0,0.69,1.09,0.76,0.77,0.71,0.7,0.66,1.09,1.0,1.14,0.89,1.06,0.63,0.7,0.85,1.09
a_0,0.78,1.02,0.85,0.97,0.55,,1.23,0.96,0.99,1.13,0.73,1.17,1.1,1.67,0.81,1.06
e_0,,0.98,1.0,0.75,0.78,0.7,0.94,1.05,1.02,0.95,1.21,0.96,1.22,0.89,1.71,0.97
g_0,0.8,0.64,1.23,0.85,0.83,0.51,0.82,0.92,0.98,0.61,0.99,1.46,0.89,0.8,0.77,0.71
