,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.5,1.47,1.58,2.0,1.76,1.55,3.4,5.38,3.45,3.75,3.67,4.14,4.34,5.02,3.32,4.12
d_1,1.57,2.54,1.77,1.46,1.57,1.64,3.12,3.19,5.27,3.02,4.41,3.73,4.83,4.36,4.51,4.44
f_1,2.42,1.46,2.54,1.8,1.51,1.59,2.74,3.76,3.24,3.02,3.23,2.82,4.44,4.34,2.98,3.48
c_1,1.54,1.59,1.66,2.55,2.68,1.71,3.27,2.62,3.05,3.16,2.62,3.47,4.28,4.29,3.56,3.34
b_1,1.65,1.72,1.74,1.44,2.76,2.87,3.33,3.44,3.32,3.2,2.99,3.6,4.79,4.71,3.66,3.44
a_1,1.76,1.74,1.84,1.71,1.3,3.3,3.49,3.82,3.51,3.38,4.07,4.26,4.67,4.82,4.19,3.38
h_1,1.63,1.85,2.15,1.68,1.59,1.63,4.37,3.4,3.38,4.03,3.59,3.69,3.98,5.31,3.63,4.0
d_0,1.44,1.32,1.8,2.69,2.03,1.64,3.62,4.41,2.66,3.55,3.59,3.75,4.53,4.18,3.59,4.28
c_0,1.79,1.68,1.88,1.72,1.55,1.83,3.3,4.09,4.57,3.18,5.6,4.2,5.02,4.89,4.21,5.04
g_1,1.32,2.21,1.6,1.71,1.85,1.73,3.13,3.33,3.77,4.78,3.91,4.92,4.25,4.52,4.31,4.01
b_0,1.67,1.65,2.01,2.04,1.64,1.42,3.54,3.62,3.36,3.23,4.8,3.71,4.82,5.08,3.52,6.61
f_0,1.41,1.91,1.59,1.79,1.82,1.77,3.49,3.74,3.74,3.29,4.25,4.93,4.95,4.79,5.96,4.68
h_0,1.74,1.72,2.03,1.79,1.58,1.6,3.01,3.73,3.27,4.01,3.69,3.89,4.11,5.6,3.52,3.81
g_0,1.5,2.29,1.6,1.81,1.66,1.59,3.12,3.46,3.8,3.36,3.58,5.0,4.24,4.0,3.95,3.93
e_0,1.26,1.82,2.09,1.76,1.8,1.7,3.48,3.4,3.88,3.24,4.18,3.96,5.32,5.03,5.79,4.63
a_0,1.65,1.73,1.81,2.09,1.73,1.82,3.53,3.64,3.44,3.74,3.66,4.06,5.31,4.98,3.95,5.58
