,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.92,1.0,0.9,0.89,0.84,1.08,1.04,0.88,0.95,0.98,0.88,1.01,0.85,1.05
e_1,0.8,1.0,0.96,1.21,1.01,0.95,1.07,1.02,1.39,0.99,1.05,1.21,1.13,1.02,0.98,1.1
d_1,1.08,1.03,1.0,0.84,1.04,0.93,1.06,0.85,0.98,1.32,1.03,1.03,1.05,1.01,1.08,0.87
c_1,1.0,0.82,1.17,1.0,1.39,0.9,1.03,0.95,0.66,0.78,0.85,0.88,0.91,0.99,0.93,0.9
b_1,1.1,0.99,0.96,0.73,1.0,1.47,1.05,1.07,0.95,1.21,1.09,0.97,1.0,0.82,1.09,1.01
a_1,1.12,1.02,1.09,1.08,0.7,1.0,1.05,0.95,1.06,1.05,1.08,0.98,1.15,0.98,1.1,1.3
h_1,1.18,0.98,0.93,0.95,0.91,0.89,1.0,1.15,0.92,0.88,0.99,0.93,1.02,1.02,0.89,1.14
g_1,0.94,0.97,1.16,1.05,0.9,1.13,0.87,1.0,0.92,0.93,0.92,1.18,0.88,0.87,1.04,0.93
d_0,0.95,0.72,1.04,1.56,1.06,0.91,1.13,1.12,1.0,0.76,1.02,0.94,1.05,0.98,1.0,1.06
c_0,1.1,0.95,0.79,1.23,0.87,0.93,1.15,1.09,1.28,1.0,1.36,1.03,1.01,1.19,0.98,1.02
b_0,1.04,0.96,0.97,1.2,0.89,0.9,1.01,1.15,0.94,0.75,1.0,0.91,1.01,1.47,0.93,1.02
f_0,1.03,0.86,1.03,1.12,1.02,1.04,1.09,0.87,1.01,0.98,1.03,1.0,1.02,1.04,1.33,0.82
h_0,1.12,0.93,0.97,1.04,0.98,0.86,0.99,1.15,0.95,0.95,1.01,0.93,1.0,0.96,1.01,1.05
a_0,1.0,0.97,1.0,1.11,1.31,0.87,0.94,1.18,0.91,0.79,0.7,0.98,1.04,1.0,1.0,1.0
e_0,1.17,0.97,1.03,1.11,0.83,0.95,1.11,1.02,1.0,1.0,1.07,0.77,1.01,0.9,1.0,0.96
g_0,0.94,0.89,1.18,1.12,0.98,0.75,0.91,1.14,0.97,0.94,0.98,1.22,0.94,1.04,1.02,1.0
