,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.04,1.29,1.07,1.11,1.1,0.23,0.24,0.38,0.23,0.24,0.34,0.13,0.22,0.24,0.16
e_1,0.71,0.43,1.35,1.34,1.27,1.09,0.33,0.28,0.42,0.28,0.25,0.3,0.18,0.25,0.45,0.22
c_1,1.32,0.99,0.41,1.48,1.18,1.14,0.35,0.16,0.33,0.34,0.25,0.23,0.19,0.22,0.24,0.17
d_1,1.32,1.59,1.38,0.4,1.36,0.96,0.31,0.4,0.2,0.22,0.25,0.21,0.15,0.22,0.2,0.11
b_1,1.56,1.27,0.69,1.59,0.38,1.46,0.49,0.29,0.41,0.41,0.58,0.31,0.2,0.28,0.26,0.21
a_1,1.98,1.58,1.51,1.76,0.81,0.32,0.62,0.38,0.51,0.35,0.66,0.36,0.27,0.6,0.33,0.22
h_1,2.09,2.13,2.16,2.3,2.12,2.04,0.3,0.48,0.65,0.47,0.44,0.48,0.43,0.39,0.43,0.33
d_0,2.12,1.46,2.51,3.03,2.44,2.16,0.77,0.34,0.74,0.49,0.49,0.48,0.39,0.5,0.48,0.43
g_1,2.91,2.53,2.62,2.29,2.58,1.89,0.57,0.56,0.27,0.52,0.5,0.46,0.31,0.45,0.48,0.48
c_0,2.7,2.7,4.72,1.33,2.83,2.3,0.72,0.75,0.59,0.32,0.49,0.56,0.43,0.51,0.48,0.41
b_0,2.45,2.7,3.66,1.89,4.41,2.62,0.75,0.56,0.7,0.31,0.28,0.59,0.46,0.47,0.45,0.41
f_0,3.69,2.81,2.91,3.04,2.18,2.46,0.76,0.68,0.44,0.6,0.55,0.31,0.39,0.46,0.51,0.27
h_0,2.77,3.2,2.98,2.73,2.96,2.25,1.0,0.72,0.91,0.55,0.61,0.52,0.59,0.56,0.53,0.41
a_0,3.01,3.14,2.79,2.86,3.82,4.44,0.82,0.69,1.0,0.57,0.33,0.67,0.44,0.3,0.61,0.38
e_0,4.31,3.89,2.84,2.88,2.95,3.01,0.91,0.66,0.63,0.61,0.62,0.31,0.44,0.52,0.27,0.42
g_0,3.39,3.31,3.53,3.33,3.36,2.95,0.66,0.72,1.19,0.68,0.65,0.63,0.35,0.64,0.6,0.56
