,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,2.61,2.94,3.01,3.53,4.74,1.95,1.84,2.73,1.68,1.73,1.73,1.34,1.4,,1.08
f_1,3.98,0.42,3.76,3.51,3.55,5.1,1.44,2.09,1.68,1.38,1.74,,0.91,1.64,1.36,1.8
d_1,4.37,4.12,0.4,3.16,3.32,2.68,1.86,1.15,,1.78,1.63,1.75,1.81,1.26,1.67,1.07
c_1,3.59,4.39,4.61,0.39,3.49,3.19,1.88,1.59,0.94,,1.68,1.79,1.26,1.86,1.73,1.3
b_1,4.0,3.13,3.93,2.6,0.37,4.52,1.81,3.1,1.36,2.1,,1.4,1.3,1.6,1.52,1.2
a_1,3.03,3.49,4.26,4.67,2.19,0.29,1.63,1.63,1.69,,,1.73,1.77,,1.26,1.5
h_1,2.3,1.98,2.05,1.63,1.81,1.99,0.27,0.84,0.63,0.69,0.68,1.01,,0.86,0.85,0.79
g_1,2.35,1.93,2.4,2.3,1.49,1.84,0.92,0.24,0.68,0.74,0.69,0.85,0.55,0.69,,
d_0,0.81,1.55,,2.16,1.89,1.8,0.89,1.02,0.28,0.69,0.75,0.78,0.54,0.92,0.74,0.62
c_0,1.48,1.58,0.95,,1.66,,0.83,0.99,0.81,0.29,0.9,0.71,0.7,0.63,0.65,0.62
b_0,1.54,1.34,1.63,1.83,,,1.02,1.04,0.75,0.48,0.26,0.54,0.61,1.21,,0.65
f_0,1.73,,1.39,1.4,1.68,1.26,0.76,0.66,0.9,0.68,0.98,0.25,0.71,,0.96,0.44
h_0,1.19,1.47,1.27,1.49,1.39,1.1,,0.82,0.6,0.5,0.52,0.46,,0.63,0.41,0.55
a_0,1.99,1.8,2.18,1.29,2.13,,0.9,0.86,0.8,0.76,0.35,,0.63,0.22,,0.47
e_0,,2.49,1.24,1.4,1.52,1.58,0.81,,0.83,0.65,,0.5,0.72,,0.21,0.56
g_0,1.78,0.99,1.44,1.56,1.5,1.0,0.58,,0.56,0.71,0.59,0.63,0.33,0.7,0.72,
