,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.8,1.3,0.98,1.0,1.13,1.05,0.99,1.36,1.22,1.11,1.08,0.96,1.07,1.01
d_1,1.16,1.0,0.94,0.94,1.05,0.94,1.0,0.75,1.31,1.03,1.0,0.92,1.02,0.97,0.98,0.82
f_1,1.25,1.06,1.0,0.91,0.93,0.85,0.89,1.11,0.88,0.99,0.77,0.93,0.77,0.99,0.72,1.11
c_1,0.76,1.07,1.09,1.0,1.39,0.83,0.93,1.22,0.89,0.71,1.03,0.76,1.03,0.92,0.99,1.01
b_1,1.03,0.95,1.06,0.72,1.0,1.45,1.06,1.03,0.94,0.94,0.98,0.89,1.18,0.98,1.2,1.05
a_1,1.01,1.05,1.2,1.21,0.68,1.0,1.06,1.13,0.99,1.19,1.03,1.55,0.97,1.17,1.03,1.05
h_1,0.87,1.0,1.15,1.08,1.01,0.98,1.0,1.08,0.92,0.88,0.97,1.04,1.22,0.9,0.93,1.2
g_1,0.98,1.31,0.86,0.86,0.95,0.99,0.94,1.0,1.04,0.96,1.1,1.03,0.75,0.97,1.01,1.02
c_0,0.98,0.76,1.11,1.03,1.12,1.04,1.07,0.94,1.0,1.24,0.98,1.44,1.01,1.22,1.05,1.11
d_0,0.71,0.98,1.01,1.45,1.03,0.79,1.14,1.03,0.8,1.0,0.95,1.09,1.05,1.08,0.99,1.08
f_0,0.85,0.96,1.28,0.91,1.05,0.94,1.1,0.89,0.99,1.05,1.0,1.02,1.11,0.99,1.62,0.86
b_0,0.88,1.09,1.09,1.28,1.0,0.73,0.98,0.98,0.68,0.9,0.88,1.0,1.2,1.47,0.98,0.91
h_0,0.88,1.02,1.31,1.03,0.82,1.02,0.83,1.31,1.0,0.97,0.9,0.89,1.0,1.07,0.9,1.2
a_0,1.09,0.92,1.05,1.05,1.08,0.86,1.08,1.04,0.85,0.95,1.04,0.7,1.06,1.0,1.05,1.09
e_0,0.9,1.01,1.41,0.94,0.91,0.94,1.05,0.97,0.93,0.95,0.62,1.01,1.16,0.98,1.0,1.01
g_0,0.92,1.2,0.9,0.98,0.95,1.05,0.83,0.96,0.9,0.93,1.11,1.07,0.84,0.91,1.06,1.0
