,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,38.72,0.06,0.06,0.08,0.05,0.07,0.3,0.32,0.35,0.67,0.4,0.3,0.39,0.7,,0.38
f_1,0.13,38.52,0.08,0.05,0.07,0.07,0.32,0.23,0.42,0.35,0.38,,0.46,0.59,0.35,0.32
d_1,0.06,0.06,40.14,0.06,0.06,0.06,0.38,0.23,0.82,,0.4,0.35,0.33,0.5,0.3,0.58
c_1,0.07,0.06,0.09,41.32,0.12,0.06,0.32,0.21,,0.45,0.28,0.43,0.32,0.42,0.46,0.51
b_1,0.06,0.07,0.07,0.07,45.13,0.11,0.23,0.35,0.33,0.38,,0.43,0.33,0.74,0.47,0.57
a_1,0.07,0.06,0.06,0.08,0.07,72.29,0.34,0.3,0.28,0.39,0.32,0.38,,0.56,,0.67
h_1,0.22,0.32,0.24,0.26,0.3,0.29,25.2,1.31,1.27,1.69,1.53,1.67,1.17,,1.43,3.06
g_1,0.18,0.2,0.42,0.38,0.22,0.2,1.39,34.93,1.06,1.11,1.42,2.11,1.07,2.39,1.45,
c_0,0.38,0.35,0.35,,0.27,0.34,1.32,1.59,18.05,1.34,4.17,2.57,1.77,3.53,1.72,3.13
d_0,0.35,0.49,,0.74,0.39,0.45,1.52,1.42,1.41,18.87,1.55,1.84,1.46,2.61,1.57,2.91
b_0,0.3,0.44,0.3,0.28,,0.27,1.69,1.17,2.65,1.13,19.91,1.53,5.18,4.25,1.77,2.93
f_0,0.37,,0.3,0.37,0.41,0.38,1.53,1.13,2.2,2.23,2.17,22.72,1.21,2.12,3.97,3.19
a_0,0.29,0.36,0.32,0.4,0.23,,1.52,1.34,1.79,2.29,1.64,1.55,32.14,3.53,1.89,3.38
h_0,0.52,0.83,0.5,0.4,0.48,0.48,,3.84,3.07,3.81,3.01,2.01,2.7,,,7.77
e_0,,0.3,0.35,0.21,0.51,0.46,0.89,1.78,2.43,3.05,2.54,,1.89,3.93,31.8,3.08
g_0,0.45,0.47,0.85,0.54,0.54,0.47,1.97,,3.09,2.47,2.46,5.71,,4.82,4.84,
