,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.42,5.55,3.22,4.1,3.5,3.18,1.98,1.21,1.99,,1.69,1.42,1.46,1.06,1.25,1.07
e_1,2.96,0.42,2.29,3.62,3.12,3.35,2.68,2.44,1.54,1.91,1.95,1.48,1.46,1.4,1.66,
f_1,4.16,4.24,0.41,3.63,2.82,3.57,1.81,1.54,1.69,1.46,1.67,,1.06,1.11,1.62,1.93
c_1,3.73,3.35,3.07,0.39,4.41,3.13,2.19,2.15,,1.04,1.14,1.72,1.52,1.51,1.47,2.21
b_1,3.4,3.81,4.52,2.62,0.37,4.16,1.51,1.63,1.88,1.77,,1.8,1.21,1.52,,1.4
a_1,4.5,3.02,4.2,3.75,2.44,0.3,2.03,1.33,2.16,1.62,2.28,1.63,1.55,1.18,,
h_1,1.82,1.81,1.64,1.49,1.91,2.34,0.26,1.24,0.76,0.68,1.08,0.86,,0.69,0.7,0.67
g_1,2.07,1.75,3.31,1.69,2.12,2.35,0.58,0.24,0.82,0.98,0.83,1.05,0.4,,,
c_0,0.93,1.71,1.64,,1.73,1.44,0.68,1.02,0.29,0.89,0.92,0.58,0.6,0.56,0.9,0.85
d_0,,1.06,1.53,1.82,1.45,1.81,1.01,0.89,0.74,0.28,0.56,0.74,0.59,0.67,1.04,0.65
b_0,1.51,1.46,1.73,2.9,,1.57,0.83,0.68,0.41,0.82,0.26,0.75,0.55,0.76,1.06,
f_0,1.8,1.69,,2.0,1.63,1.45,0.9,0.59,0.86,0.69,0.69,0.25,0.78,0.34,0.67,0.72
h_0,1.21,1.27,1.29,1.02,1.29,1.15,,1.14,0.55,0.56,0.63,0.48,,0.6,,0.59
g_0,1.22,1.27,1.82,1.28,1.27,1.4,0.52,,0.58,0.56,0.55,0.8,0.38,,,0.75
a_0,2.4,1.75,1.71,1.35,,,0.91,,0.61,0.59,0.38,0.63,,,0.21,
e_0,2.46,,1.52,1.15,1.81,,0.98,,0.59,0.81,,0.53,0.47,0.52,,0.2
