,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.17,0.82,1.0,0.86,0.73,0.84,0.55,0.59,0.63,0.69,0.59,0.56,0.62,0.66
f_1,1.23,1.0,0.97,0.93,0.89,0.68,0.53,0.7,0.56,0.54,0.57,0.5,0.48,0.57,0.48,0.55
c_1,0.84,1.04,1.0,1.19,1.27,0.81,0.71,0.49,0.56,0.5,0.6,0.54,0.58,0.51,0.6,0.52
d_1,1.21,1.08,0.83,1.0,0.91,0.89,0.74,0.7,0.87,0.73,0.56,0.63,0.6,0.6,0.56,0.46
b_1,1.01,1.13,0.81,1.09,1.0,1.42,0.77,0.73,0.72,0.76,0.66,0.68,0.65,0.6,0.6,0.54
a_1,1.15,1.46,1.2,1.11,0.72,1.0,0.89,0.81,0.89,0.93,0.75,0.71,0.84,0.79,0.74,0.75
h_1,1.39,1.82,1.39,1.39,1.27,1.06,1.0,0.85,0.88,0.89,1.0,0.9,0.77,0.77,0.78,0.89
d_0,1.18,1.42,2.08,1.46,1.42,1.22,1.2,1.0,0.81,0.9,1.07,0.87,0.91,0.79,0.93,0.97
c_0,1.77,1.73,1.68,1.15,1.36,1.14,1.06,1.19,1.0,1.22,1.05,1.0,0.97,0.95,0.82,0.84
b_0,1.68,1.78,2.12,1.36,1.42,1.03,1.15,1.12,0.84,1.0,1.06,0.91,0.96,1.36,0.9,1.01
g_1,1.63,1.7,1.65,1.77,1.52,1.25,1.06,0.96,0.94,0.95,1.0,1.08,0.75,0.87,0.81,0.92
f_0,1.38,1.97,1.85,1.65,1.52,1.34,1.18,1.1,1.02,1.04,0.97,1.0,1.02,0.91,1.36,0.73
h_0,1.71,2.08,1.68,1.68,1.51,1.19,1.31,1.08,1.02,1.1,1.3,0.98,1.0,1.02,0.88,1.08
a_0,1.76,1.79,1.97,1.63,1.59,1.27,1.38,1.3,1.0,0.72,1.16,1.09,0.98,1.0,1.0,1.04
e_0,1.61,2.06,1.65,1.89,1.58,1.44,1.24,1.09,1.22,1.12,1.26,0.74,1.18,1.07,1.0,0.99
g_0,1.67,1.79,1.88,2.13,1.78,1.36,1.16,1.03,1.13,0.98,1.1,1.36,0.93,0.99,0.97,1.0
