,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.47,2.23,2.34,2.42,1.97,0.93,1.08,0.69,0.91,0.66,0.86,0.58,0.54,0.92,0.58
f_1,2.59,1.06,2.05,2.25,1.91,2.02,0.68,0.91,0.65,0.68,0.63,0.87,0.37,0.56,0.55,0.46
d_1,2.5,2.36,1.06,2.66,2.13,1.6,0.85,0.53,0.71,1.36,0.74,0.61,0.5,0.49,0.58,0.38
c_1,2.13,2.53,2.9,1.06,2.73,1.61,0.9,1.06,1.03,0.44,0.81,0.63,0.61,0.68,0.59,0.57
b_1,2.8,3.37,3.32,1.55,1.06,3.4,1.06,1.1,1.05,0.81,1.16,0.87,0.69,0.69,0.7,0.6
a_1,3.83,4.4,4.49,5.6,1.87,1.07,1.97,1.46,1.13,1.43,1.34,1.19,1.12,1.72,1.01,1.06
h_1,5.67,6.68,5.15,6.28,5.58,4.27,1.34,2.14,1.66,1.69,1.72,1.48,1.73,1.46,1.46,1.31
g_1,6.17,7.23,7.12,6.76,6.27,5.76,2.25,1.33,2.0,1.96,2.06,2.08,1.36,1.9,1.5,1.86
c_0,7.03,7.27,4.58,11.03,6.45,6.41,2.8,2.4,1.53,2.53,2.39,1.94,1.57,1.73,1.8,1.58
d_0,4.25,8.02,9.79,7.68,7.74,5.15,3.2,3.21,2.09,1.51,1.87,1.81,1.56,1.91,1.77,1.72
b_0,7.09,7.67,6.07,8.32,10.48,6.24,2.84,2.94,1.43,2.47,1.53,1.95,1.96,2.42,1.79,1.46
f_0,7.25,11.69,7.44,8.24,8.15,6.47,3.72,2.12,2.3,2.51,2.4,1.53,1.9,2.46,2.6,1.14
h_0,9.1,11.28,10.18,9.76,8.72,6.3,4.98,3.69,2.7,3.25,2.39,2.51,2.69,2.35,2.3,2.49
a_0,10.67,12.12,10.92,10.33,11.62,12.63,3.9,4.05,3.07,2.95,1.87,2.89,2.27,1.69,2.49,2.03
e_0,14.55,14.3,10.63,11.38,9.91,8.51,4.12,3.99,2.89,2.96,2.98,1.75,2.23,3.52,1.61,2.37
g_0,10.53,12.53,12.01,11.4,10.91,9.01,3.37,5.59,3.16,3.33,3.46,3.99,1.92,2.95,2.64,3.03
