,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.04,1.11,1.71,1.55,1.48,1.3,0.58,0.56,0.46,0.58,0.48,0.52,0.4,0.37,0.52,0.34
f_1,1.75,1.04,1.63,1.33,1.47,1.16,0.48,0.53,0.46,0.52,0.45,0.49,0.37,0.28,0.36,0.37
c_1,1.35,1.58,1.04,1.86,1.73,1.41,0.66,0.35,0.52,0.59,0.45,0.48,0.37,0.34,0.35,0.34
d_1,1.97,1.97,1.56,1.04,1.49,1.27,0.54,0.64,0.53,0.44,0.44,0.47,0.46,0.35,0.38,0.25
b_1,1.79,1.93,1.22,1.79,1.05,1.75,0.76,0.53,0.65,0.68,0.62,0.54,0.52,0.45,0.39,0.4
a_1,2.59,2.8,2.23,2.67,1.57,1.06,0.95,0.79,0.78,0.96,0.74,0.75,0.9,0.58,0.61,0.48
h_1,4.48,4.69,4.18,4.19,3.67,3.25,1.24,1.28,1.33,1.66,1.27,1.15,1.09,1.1,1.07,0.96
d_0,3.5,4.54,5.64,5.31,4.68,4.26,2.08,1.32,1.49,1.97,1.48,1.41,1.29,1.21,1.34,1.07
c_0,5.46,5.29,6.25,3.58,4.74,4.09,1.84,1.94,1.3,1.72,1.76,1.4,1.56,1.3,1.58,1.0
g_1,5.35,5.52,5.04,5.19,4.9,4.13,1.6,1.62,1.44,1.25,1.38,1.59,1.19,0.97,1.32,1.1
b_0,5.35,5.49,7.08,5.08,5.92,4.58,2.06,1.76,1.2,2.02,1.38,1.46,1.74,1.27,1.57,1.1
f_0,5.23,7.18,6.15,5.78,5.39,5.31,2.24,1.95,1.81,1.58,1.79,1.33,1.59,1.31,1.75,0.96
a_0,6.7,7.52,8.95,6.55,8.06,6.63,2.69,2.35,1.92,2.66,1.39,2.0,1.44,1.77,1.97,1.51
h_0,7.31,7.76,8.02,7.41,6.65,5.41,3.01,2.33,2.08,2.68,2.23,2.15,1.79,1.84,1.67,1.7
e_0,8.48,11.03,8.74,9.18,8.48,6.2,3.02,2.63,2.35,2.58,2.33,1.51,2.08,2.01,1.46,1.72
g_0,8.36,8.53,8.6,9.36,8.0,6.89,2.78,2.86,2.59,3.32,2.53,2.97,2.24,1.67,2.34,1.96
