,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.87,1.32,1.29,1.27,1.14,0.67,0.47,0.67,0.6,0.51,0.59,0.37,0.48,0.76,0.41
f_1,1.38,0.66,1.23,1.29,1.15,1.18,0.44,0.48,0.57,0.45,0.45,0.64,0.3,0.43,0.36,0.38
d_1,1.31,1.42,0.65,1.27,1.25,1.28,0.59,0.56,0.45,0.68,0.43,0.43,0.38,0.42,0.52,0.27
c_1,1.2,1.49,1.61,0.63,1.58,1.15,0.64,0.73,0.69,0.32,0.54,0.45,0.41,0.45,0.47,0.41
b_1,1.53,1.65,1.5,0.92,0.61,1.74,0.72,0.57,0.54,0.55,0.59,0.51,0.43,0.5,0.53,0.47
a_1,1.8,1.64,1.47,1.88,0.89,0.58,0.8,0.66,0.66,0.65,0.83,0.65,0.64,1.34,0.56,0.6
h_1,1.85,2.4,1.95,1.96,1.8,1.69,0.57,0.67,1.02,0.76,0.73,0.72,0.75,0.65,0.6,0.69
c_0,2.3,2.38,1.39,2.83,2.35,1.99,1.08,0.6,0.95,0.88,0.86,0.74,0.72,0.77,0.68,0.62
g_1,2.23,2.6,2.35,2.02,2.42,1.78,0.76,0.76,0.54,0.75,0.74,0.88,0.5,0.81,0.65,0.78
d_0,1.46,2.23,2.63,2.66,2.3,2.3,1.03,0.81,1.14,0.62,0.9,0.71,0.68,0.72,0.81,0.7
b_0,2.29,2.32,2.25,2.27,3.12,1.77,0.99,0.54,0.96,0.8,0.59,0.78,0.62,1.1,0.72,0.61
f_0,2.09,3.59,2.4,2.51,2.22,1.77,0.97,0.81,0.75,0.91,0.82,0.58,0.76,0.86,0.86,0.52
h_0,2.47,2.72,2.54,2.52,2.42,1.97,1.44,0.83,1.41,0.88,0.98,0.87,0.93,0.75,0.72,0.77
a_0,2.48,2.89,2.43,3.03,3.23,2.57,1.22,0.78,1.0,1.01,0.53,0.85,0.87,0.55,0.75,0.7
e_0,3.16,3.89,2.17,2.84,2.37,2.02,1.09,0.96,1.17,0.95,0.99,0.58,0.83,0.88,0.55,0.71
g_0,2.48,2.95,2.93,2.66,2.64,2.29,0.95,0.95,1.61,0.83,0.98,1.04,0.69,0.91,0.85,0.9
