,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.43,1.46,1.66,1.66,1.86,1.68,0.36,0.56,0.35,0.32,0.31,0.51,0.28,0.16,0.29,0.34
e_1,1.01,0.43,1.92,1.66,1.94,1.76,0.56,0.52,0.41,0.37,0.36,0.45,0.37,0.26,0.26,0.59
d_1,1.76,2.01,0.42,1.89,1.6,1.49,0.47,0.27,0.7,0.35,0.37,0.32,0.34,0.24,0.17,0.35
c_1,1.67,1.57,2.12,0.41,1.79,1.85,0.51,0.47,0.2,0.71,0.33,0.32,0.33,0.25,0.26,0.3
b_1,1.98,2.24,2.17,1.04,0.38,1.76,0.67,0.73,0.44,0.52,0.7,0.44,0.51,0.34,0.32,0.48
a_1,2.83,2.39,1.87,2.64,1.08,0.34,0.75,0.73,0.5,0.51,0.54,0.4,1.62,0.46,0.31,0.5
h_1,3.18,2.29,2.85,3.13,2.92,2.37,0.32,0.92,0.59,0.58,0.58,0.55,0.56,0.72,0.38,0.56
g_1,3.39,3.24,2.98,3.81,3.16,2.76,0.67,0.3,0.65,0.64,0.65,0.61,0.54,0.32,0.66,0.56
d_0,3.2,1.77,7.6,3.36,3.21,3.24,0.81,1.44,0.37,0.69,0.64,0.6,0.66,0.53,0.44,0.58
c_0,4.11,2.95,1.58,6.36,3.85,3.16,0.8,1.01,0.98,0.36,0.71,0.68,0.71,0.52,0.52,0.59
b_0,3.4,2.82,2.47,5.01,8.91,3.46,1.03,1.0,0.79,0.34,0.36,0.66,0.73,0.54,0.58,0.63
f_0,6.27,3.3,3.16,3.79,3.55,3.66,1.09,0.77,0.77,0.63,0.86,0.34,0.8,0.6,0.34,0.99
a_0,4.09,3.29,3.74,3.85,5.78,6.58,1.24,1.22,0.78,0.65,0.4,0.79,0.32,0.57,0.52,0.61
h_0,4.33,3.89,3.55,4.04,4.16,3.02,1.7,1.21,0.87,0.84,0.66,0.75,0.82,0.92,0.51,0.8
g_0,4.9,4.24,4.11,4.81,4.71,3.99,0.93,1.62,0.96,0.93,0.88,0.89,0.95,0.51,0.91,0.69
e_0,6.37,6.07,3.75,4.81,4.05,4.11,1.09,1.3,0.86,0.75,0.85,0.38,1.2,0.67,0.54,0.29
