,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,1.22,0.89,1.03,0.99,1.09,1.42,1.01,1.11,1.07,1.19,1.06,1.08,1.21,1.12
f_1,1.31,1.0,0.95,1.04,0.87,0.88,0.84,0.95,0.91,1.12,0.98,0.88,0.85,1.04,0.75,1.05
c_1,0.82,1.06,1.0,1.06,1.42,0.94,0.95,0.72,0.82,0.89,0.76,0.93,0.96,0.97,0.96,1.02
d_1,1.13,0.97,0.94,1.0,1.06,0.9,0.99,0.97,1.23,0.8,1.09,1.0,0.99,0.89,1.0,0.82
b_1,0.99,1.17,0.73,0.95,1.0,1.6,1.09,0.96,1.33,1.09,1.02,0.96,1.05,0.85,0.98,0.98
a_1,1.0,1.12,1.03,1.07,0.64,1.0,1.24,1.08,0.93,1.09,1.11,1.11,1.13,1.02,1.14,1.08
h_1,0.93,1.19,1.06,0.99,0.88,0.81,1.0,0.97,0.92,1.24,0.96,0.93,1.03,0.99,0.96,1.12
d_0,0.72,1.02,1.37,1.0,1.06,0.92,1.01,1.0,0.86,1.05,0.96,1.01,1.14,0.94,1.07,1.14
c_0,0.96,1.13,1.18,0.82,0.77,1.06,1.04,1.19,1.0,1.01,1.36,0.95,1.2,1.23,1.04,1.03
g_1,0.9,0.9,1.06,1.25,0.92,0.92,0.83,0.95,0.98,1.0,0.99,1.19,0.9,0.84,0.97,0.96
b_0,0.92,1.03,1.37,0.9,0.97,0.81,1.04,1.03,0.7,1.02,1.0,0.94,1.06,1.49,0.96,1.07
f_0,0.84,1.18,1.04,0.99,1.05,0.92,1.09,0.99,1.03,0.81,1.04,1.0,1.16,1.03,1.41,0.82
h_0,0.91,1.14,1.02,1.01,0.96,0.86,0.93,0.91,0.86,1.13,0.94,0.89,1.0,0.92,0.93,1.18
a_0,0.89,1.02,0.96,1.17,1.17,1.02,1.04,0.97,0.86,1.12,0.68,0.96,1.1,1.0,1.0,0.94
e_0,0.84,1.28,1.02,1.03,1.0,0.89,1.02,0.94,0.93,1.01,1.07,0.71,1.01,1.09,1.0,0.96
g_0,0.87,0.96,0.94,1.21,1.03,0.95,0.89,0.87,0.93,1.09,0.92,1.22,0.85,1.07,1.08,1.0
