,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,37.57,0.06,0.14,0.08,0.06,0.09,0.31,0.26,0.35,0.33,,0.43,0.54,0.49,0.45,
d_1,0.08,38.23,0.07,0.05,0.07,,0.27,0.32,,0.71,0.4,0.46,0.77,0.51,0.36,0.28
e_1,0.06,0.05,38.52,0.07,0.07,0.07,0.32,0.23,0.61,0.43,0.39,0.4,0.75,0.57,0.23,
c_1,0.07,0.07,0.06,41.22,0.13,,0.27,0.23,0.46,,0.37,0.34,0.62,0.53,0.39,0.49
b_1,0.08,0.07,0.06,0.08,46.97,0.12,0.28,0.23,0.38,0.38,0.38,,0.59,0.57,,0.45
a_1,0.05,0.08,0.06,0.06,0.07,74.74,0.3,0.25,0.35,0.5,0.39,0.37,0.59,0.5,,
h_1,0.39,0.2,0.23,0.3,0.22,0.23,26.97,1.48,1.46,1.17,1.28,1.33,,3.51,1.42,1.97
g_1,0.21,0.33,0.27,0.25,0.2,0.26,0.76,33.68,1.55,1.89,2.38,1.52,2.17,,1.17,1.62
d_0,0.35,,0.39,0.65,0.34,0.44,1.84,1.66,18.99,1.73,1.02,1.82,2.65,2.6,1.97,1.81
c_0,0.17,0.33,0.27,,0.37,0.48,1.88,1.71,2.0,18.57,2.54,3.42,3.66,2.76,2.41,2.0
f_0,,0.32,0.29,0.34,0.45,0.39,1.54,1.22,1.41,2.39,20.93,2.36,2.54,3.38,2.03,4.31
b_0,0.41,0.48,0.26,0.36,,0.36,1.44,1.11,2.65,1.37,1.77,20.63,3.57,2.74,3.42,2.68
h_0,1.05,0.54,0.49,0.42,0.61,0.54,,3.7,2.31,2.55,3.56,2.07,,6.06,2.27,2.51
g_0,0.47,1.04,0.48,0.58,0.41,,2.36,,3.21,3.67,4.37,3.18,2.66,,2.4,2.86
a_0,0.29,0.31,0.37,0.42,0.32,,1.86,1.69,1.56,1.48,2.31,1.54,3.49,2.98,34.2,
e_0,0.28,0.48,,0.27,0.26,0.49,1.74,1.53,1.94,2.02,1.47,2.43,3.59,3.68,2.18,32.72
