,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.87,0.84,0.77,0.66,0.77,0.73,0.97,1.03,1.65,1.27,0.74,1.02,1.06,1.05,1.03,1.05
f_1,0.78,1.85,1.33,0.77,0.71,0.75,0.97,0.82,0.77,0.88,1.01,0.65,0.85,0.92,0.69,0.82
e_1,0.66,0.85,1.83,1.04,0.79,0.73,0.93,0.94,0.87,0.87,1.64,0.94,1.01,0.89,0.77,0.89
c_1,0.84,0.78,0.7,1.97,1.4,0.8,0.95,0.9,0.67,0.7,0.86,1.05,0.87,0.92,0.94,0.95
b_1,0.87,0.82,0.79,0.8,2.11,1.43,0.9,0.84,0.88,0.72,0.7,0.93,0.98,0.83,0.99,1.02
a_1,0.85,0.91,0.82,0.84,0.69,2.7,1.02,1.01,0.98,1.13,0.97,0.89,1.1,0.88,1.05,1.0
h_1,0.99,1.13,0.81,0.82,0.77,0.81,1.72,1.24,0.9,1.0,0.78,1.01,0.83,1.05,0.98,1.37
g_1,1.28,0.82,0.7,0.78,0.77,0.73,0.95,2.0,1.19,1.05,0.8,1.61,1.17,0.98,1.28,0.86
c_0,0.96,0.91,0.83,0.8,0.62,0.78,1.05,1.12,1.5,1.86,1.11,1.19,1.26,1.47,1.19,1.23
b_0,0.92,0.96,0.88,0.94,0.68,0.65,1.17,1.12,0.98,1.57,1.12,1.21,1.14,1.85,1.24,1.08
d_0,0.57,0.83,0.8,1.51,1.01,0.68,1.08,1.01,0.74,0.92,1.49,1.16,0.97,1.02,1.14,0.98
f_0,1.01,0.78,0.63,0.98,0.89,0.86,1.04,1.16,1.09,1.28,1.0,1.78,1.25,1.03,2.21,1.22
h_0,1.05,0.99,0.78,0.9,0.82,0.71,0.86,1.41,1.03,1.1,0.96,1.2,0.86,1.02,1.34,1.35
a_0,1.03,0.88,0.83,0.96,0.88,0.6,1.1,1.04,1.0,1.1,1.03,1.22,1.27,1.96,1.02,1.29
e_0,1.11,0.92,0.62,1.03,0.88,0.72,1.11,1.18,1.06,1.27,0.86,1.03,1.29,1.31,2.16,1.39
g_0,1.28,0.75,0.75,0.9,0.84,0.76,1.14,0.88,1.0,1.05,0.8,1.51,1.01,0.95,1.15,0.86
