,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.06,0.95,0.78,0.82,0.67,0.51,0.56,0.36,0.43,0.45,0.37,0.35,0.33,0.26,0.33
f_1,0.94,1.0,1.26,0.92,0.79,0.68,0.43,0.38,0.45,0.44,0.37,0.33,0.3,0.31,0.33,0.26
e_1,1.06,0.8,1.0,1.09,0.97,0.73,0.5,0.45,0.47,0.59,0.44,0.48,0.39,0.35,0.37,0.34
c_1,1.26,1.12,0.92,1.0,1.43,0.7,0.45,0.44,0.46,0.35,0.34,0.37,0.38,0.33,0.35,0.36
b_1,1.23,1.24,1.04,0.7,1.0,1.26,0.66,0.55,0.54,0.45,0.52,0.48,0.42,0.39,0.41,0.37
a_1,1.49,1.48,1.36,1.41,0.79,1.0,0.75,0.59,0.69,0.58,0.64,0.56,0.55,0.47,0.53,0.41
h_1,1.96,2.24,1.93,2.23,1.54,1.32,1.0,0.84,1.05,0.87,0.75,0.77,0.7,0.61,0.74,0.62
c_0,1.83,2.55,2.42,2.16,1.73,1.73,1.19,1.0,1.07,1.11,1.36,0.86,0.89,0.91,0.78,0.76
g_1,2.64,2.3,2.08,2.16,1.84,1.45,0.92,0.92,1.0,0.86,0.85,0.92,0.73,0.75,0.65,0.74
d_0,2.36,2.22,1.68,2.75,2.28,1.8,1.15,0.88,1.1,1.0,0.99,0.85,0.84,0.79,0.83,0.69
b_0,2.27,2.62,2.46,2.8,1.94,1.54,1.27,0.79,1.15,1.04,1.0,1.04,0.91,1.19,0.85,0.86
f_0,2.73,2.75,2.09,2.61,2.17,1.83,1.31,1.14,1.1,1.09,1.0,1.0,0.97,0.99,0.68,1.23
h_0,2.87,3.18,2.62,2.54,2.45,1.87,1.45,1.12,1.32,1.18,1.09,1.03,1.0,0.89,1.05,0.83
a_0,2.97,3.14,2.89,3.12,2.62,1.93,1.66,1.14,1.31,1.32,0.87,1.13,1.14,1.0,1.08,1.08
g_0,3.67,3.01,2.65,2.9,2.48,1.9,1.39,1.31,1.43,1.18,1.14,1.44,0.94,0.92,1.0,1.05
e_0,3.09,3.85,3.02,2.7,2.57,2.26,1.66,1.42,1.33,1.5,1.16,0.83,1.19,0.95,0.91,1.0
