,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.84,1.1,1.03,0.81,0.71,0.9,0.64,0.76,0.67,0.76,0.68,0.63,0.7,0.58
f_1,1.26,1.0,0.91,1.02,0.8,0.72,0.63,0.63,0.62,0.69,0.65,0.6,0.47,0.49,0.5,0.67
d_1,1.19,1.09,1.0,0.84,0.96,0.84,0.68,0.57,0.83,0.51,0.63,0.61,0.62,0.59,0.51,0.46
c_1,0.91,0.97,1.19,1.0,1.32,0.85,0.72,0.5,0.55,0.65,0.62,0.58,0.59,0.5,0.61,0.58
b_1,0.97,1.24,1.05,0.77,1.0,1.42,0.78,0.74,0.81,0.9,0.82,0.73,0.65,0.65,0.59,0.55
a_1,1.22,1.38,1.18,1.19,0.71,1.0,0.98,0.85,0.65,0.64,0.74,0.67,0.7,0.75,0.69,0.78
h_1,1.4,1.62,1.43,1.37,1.25,1.05,1.0,0.92,0.89,1.09,0.94,0.9,0.78,0.76,0.63,0.92
d_0,1.13,1.49,1.66,1.88,1.48,1.16,1.07,1.0,0.87,1.04,0.92,0.96,0.93,0.86,0.85,0.98
c_0,1.63,1.72,1.17,1.71,1.26,1.5,1.15,1.07,1.0,1.01,1.22,0.91,0.86,0.95,0.86,0.84
g_1,1.29,1.42,1.96,1.53,1.15,1.57,0.94,0.93,0.91,1.0,0.94,1.12,0.72,0.71,0.9,0.8
b_0,1.48,1.61,1.49,1.64,1.3,1.28,1.12,1.05,0.8,1.09,1.0,0.99,0.96,1.3,0.84,0.91
f_0,1.38,1.76,1.63,1.7,1.35,1.43,1.13,1.02,1.12,0.88,0.95,1.0,1.04,0.81,1.22,0.72
h_0,1.57,2.11,1.63,1.74,1.53,1.34,1.27,1.1,1.13,1.4,1.01,0.97,1.0,0.9,0.96,1.03
a_0,1.68,1.98,1.78,1.85,1.69,1.26,1.25,1.1,1.06,1.47,0.78,1.26,1.13,1.0,0.88,0.93
e_0,1.5,2.19,1.86,1.56,1.59,1.44,1.59,1.19,1.21,1.1,1.28,0.82,1.05,1.07,1.0,0.97
g_0,1.75,1.6,2.06,1.66,1.73,1.39,1.1,1.02,1.2,1.28,1.12,1.35,0.93,1.1,1.07,1.0
