,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,103.57,72.43,91.54,133.94,149.16,482.99,10207.86,20668.39,34438.1,30370.85,55770.79,60013.88,122423.99,229039.17,197441.89,213937.6
f_1,94.93,110.57,88.32,111.29,127.44,399.24,9291.36,19469.03,23603.55,28967.96,53721.66,46950.28,96911.06,205654.22,187471.44,173774.22
d_1,61.18,75.66,136.59,85.15,128.5,424.7,9038.75,18793.88,18084.11,43494.76,60653.43,58905.47,111437.98,186496.83,192820.71,207206.57
c_1,53.82,63.64,90.25,147.87,181.92,455.32,7984.1,18470.05,17856.06,21987.82,35641.02,45253.4,108363.25,190211.79,161423.31,180531.7
b_1,52.61,62.56,78.12,80.55,186.74,585.63,7924.81,15240.74,17756.05,28030.7,37463.33,42593.6,99596.22,177937.49,123270.01,196766.66
a_1,36.86,45.56,51.98,59.2,69.61,502.82,5841.11,12178.78,12995.88,15403.53,29471.16,28918.33,68867.35,134012.65,94306.4,124237.72
h_1,16.83,21.91,24.43,28.36,34.56,109.95,3185.96,5816.42,5279.17,7384.21,13842.41,15174.87,25643.23,69335.31,50704.75,60957.18
g_1,13.39,14.32,24.54,20.46,27.11,95.23,1780.93,5667.76,3526.72,6382.14,11389.9,14791.93,22546.58,42128.27,41368.71,52199.68
d_0,11.78,15.12,17.85,30.67,29.33,89.94,1933.95,4043.63,5364.75,4982.01,10972.05,10738.53,24711.12,45524.6,37123.41,50169.47
c_0,12.48,14.39,16.37,18.89,21.81,82.72,1909.61,3549.46,4448.25,6960.85,16430.57,10211.07,21517.51,44156.21,42124.27,42807.1
b_0,10.81,11.67,14.53,18.27,21.29,64.27,1513.99,3077.71,3205.78,3948.16,10290.96,8227.09,18421.75,35618.95,46572.51,35028.31
f_0,8.74,10.52,15.05,17.55,21.57,84.88,1381.85,2853.32,3433.64,4995.52,8793.62,11086.71,18332.37,35761.52,32174.74,54253.13
h_0,8.81,12.12,11.94,12.91,16.06,54.99,1091.43,2915.8,2639.87,3797.57,6312.32,6718.04,13184.46,31043.75,22236.8,26542.27
g_0,6.59,7.54,12.92,11.18,13.1,40.97,910.03,1821.11,2032.25,3058.18,5225.72,7131.02,11663.11,21561.81,19052.59,22238.83
a_0,7.31,7.88,9.0,12.08,14.49,46.93,936.51,1804.43,2315.23,3047.88,4977.13,5189.63,12671.73,21674.17,27249.58,21533.26
e_0,5.42,7.46,9.67,12.02,13.45,45.25,975.5,1799.54,2075.87,2962.36,5432.13,4979.55,11281.23,21375.17,19725.11,30105.44
