,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,1.27,2.01,2.16,2.09,1.95,1.02,0.97,1.06,0.72,0.76,0.9,0.6,0.72,0.83,1.65
f_1,2.4,0.67,1.89,2.23,1.69,2.04,0.62,0.87,0.79,0.67,0.71,1.55,0.44,0.68,0.48,0.68
d_1,2.19,2.28,0.65,2.24,1.85,1.92,1.03,0.66,1.64,0.94,0.72,0.71,0.61,0.83,0.45,0.68
c_1,2.1,2.37,2.26,0.65,2.77,1.8,1.01,0.94,0.48,1.32,0.65,0.74,0.65,0.61,0.6,0.69
b_1,2.23,2.69,2.78,1.3,0.62,2.47,1.2,1.23,0.71,0.99,2.09,0.91,0.64,0.85,0.7,0.75
a_1,3.01,2.5,2.37,3.18,1.68,0.56,1.63,1.15,0.99,1.06,1.27,1.03,0.93,,0.8,0.89
h_1,2.51,3.3,2.37,2.5,2.59,2.12,0.59,1.2,1.04,0.92,0.87,0.97,1.68,0.9,0.87,0.72
g_1,2.9,3.24,3.09,2.95,2.35,2.58,1.01,0.57,1.14,0.97,0.93,1.04,0.75,1.05,1.1,0.96
d_0,1.64,3.35,5.41,3.13,3.75,2.68,1.21,1.54,0.68,0.97,1.11,0.9,1.13,0.89,1.07,0.77
c_0,2.94,3.26,1.82,5.16,2.78,2.65,1.39,1.83,1.24,0.65,1.42,0.93,1.13,0.95,1.02,0.96
b_0,3.01,2.85,3.01,4.68,5.06,2.47,1.28,1.41,1.03,0.61,0.64,1.04,0.87,1.19,0.71,0.96
f_0,2.78,6.8,3.06,2.83,2.81,2.26,1.53,1.01,1.42,1.41,1.13,0.63,0.89,1.28,0.72,1.2
h_0,3.65,4.01,2.98,3.34,3.22,2.73,1.95,1.57,1.17,1.06,1.21,1.11,1.87,1.03,1.14,0.92
a_0,3.38,3.64,3.15,4.27,3.71,,1.68,1.64,1.18,1.27,0.72,1.14,1.13,0.59,1.01,0.96
g_0,2.9,4.38,3.99,3.99,4.94,3.49,1.58,2.1,1.41,1.14,1.22,1.26,0.72,1.15,1.37,1.0
e_0,5.26,4.08,3.86,3.17,3.49,3.86,1.93,1.7,1.49,1.11,1.48,0.7,1.11,1.56,0.88,0.58
