,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.41,1.94,1.13,1.1,1.21,0.99,2.07,2.26,2.34,2.68,2.39,2.12,3.14,2.89,3.03,1.89
e_1,1.13,2.48,1.18,1.55,1.21,1.3,2.47,2.17,2.67,4.39,2.62,2.93,3.49,2.82,3.55,2.12
d_1,1.44,1.16,2.49,1.06,1.15,1.28,2.38,2.44,4.21,2.19,3.03,2.67,3.36,2.67,3.15,2.81
c_1,1.26,1.04,1.31,2.64,1.93,1.03,2.13,1.97,1.44,2.12,2.03,2.77,2.69,2.23,3.28,2.58
b_1,1.15,1.26,1.27,1.07,2.72,2.0,2.73,2.3,2.83,2.54,2.09,2.53,3.64,2.07,3.21,2.63
a_1,1.51,1.16,1.29,1.33,0.99,3.26,2.43,2.45,2.26,2.98,3.3,2.85,3.88,2.24,3.23,3.33
h_1,1.69,1.15,1.52,1.4,1.14,1.29,4.09,3.18,2.99,2.82,3.26,2.62,3.09,2.93,4.79,3.23
g_1,1.08,1.32,1.88,1.41,1.29,1.22,2.34,4.42,2.92,2.33,3.06,4.08,3.22,2.94,2.98,3.02
c_0,1.43,1.32,1.26,1.1,1.18,1.63,2.78,2.88,4.01,3.27,5.07,3.71,3.96,3.68,4.05,3.39
d_0,1.23,1.16,1.02,2.45,1.44,1.2,2.51,3.06,2.24,4.01,2.97,2.94,3.29,2.99,3.52,3.54
b_0,1.48,1.29,1.34,1.49,1.14,1.18,2.8,3.03,2.53,2.97,4.37,3.17,3.96,5.52,4.04,3.73
f_0,1.06,1.05,1.39,1.42,1.36,1.59,3.29,2.48,2.96,3.09,3.35,4.45,3.74,3.34,3.85,5.81
h_0,1.71,1.28,1.43,1.34,1.26,1.29,2.2,3.22,2.76,2.83,2.88,3.12,2.8,3.51,4.63,2.33
a_0,1.38,1.33,1.62,1.38,1.46,1.0,2.93,2.93,2.78,2.79,2.89,3.13,3.93,5.07,4.12,3.3
g_0,1.31,1.18,1.89,1.3,1.26,1.45,2.66,2.37,2.9,2.84,2.93,3.87,3.18,3.07,2.88,4.09
e_0,1.56,0.86,1.55,1.54,1.39,1.27,2.84,2.84,2.83,2.81,2.82,2.73,4.45,3.31,3.3,5.33
