,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,16.75,0.52,0.58,0.41,0.57,0.53,0.91,0.92,2.24,0.48,1.38,1.12,1.12,1.18,1.0,0.91
e_1,0.44,15.56,0.57,0.73,0.55,0.63,0.94,0.87,1.02,2.06,1.11,1.07,0.87,0.95,0.91,0.48
f_1,0.55,1.27,15.29,0.57,0.42,0.51,0.93,0.71,0.67,0.83,0.9,0.46,0.8,0.72,0.8,0.74
c_1,0.49,0.43,0.56,19.13,1.33,0.49,0.9,0.86,0.31,0.82,0.44,0.71,1.0,0.96,0.93,1.14
b_1,0.58,0.53,0.6,0.55,19.36,1.38,0.69,0.79,0.66,0.78,0.41,0.86,0.94,0.92,0.54,0.92
a_1,0.65,0.59,0.55,0.59,0.54,29.26,0.81,0.83,0.98,0.82,0.94,1.11,1.03,0.76,0.56,0.9
h_1,0.86,0.46,1.05,0.6,0.77,0.67,5.21,1.89,1.29,1.03,1.05,1.17,0.66,1.69,1.28,1.45
g_1,1.9,0.49,0.7,0.6,0.66,0.69,0.93,6.22,0.92,0.61,1.02,1.71,0.99,0.68,1.34,1.37
c_0,0.91,0.75,0.91,0.44,0.46,0.62,1.24,1.29,3.07,1.17,3.51,1.36,1.47,1.31,1.64,1.25
d_0,0.37,0.62,0.85,2.24,0.66,0.61,1.33,1.02,0.73,2.91,1.0,1.25,1.25,1.37,1.22,1.29
b_0,0.86,0.74,0.91,0.85,0.35,0.43,1.28,1.15,1.17,1.48,3.6,1.06,1.52,1.22,3.83,1.22
f_0,1.05,0.67,0.44,0.97,0.65,0.63,1.26,1.19,1.17,1.24,1.31,3.78,1.49,1.24,1.17,2.97
h_0,0.81,0.71,1.37,0.84,0.59,0.51,0.67,1.65,1.03,1.12,1.23,0.93,0.69,1.94,1.0,1.4
g_0,1.33,0.66,0.69,0.67,0.57,0.77,1.03,0.7,1.3,1.08,1.08,2.57,1.11,0.75,1.25,1.37
a_0,0.83,0.6,0.84,1.05,0.82,0.22,1.02,1.37,0.97,0.97,1.13,1.35,1.73,1.43,5.01,1.3
e_0,1.04,0.32,0.93,0.73,0.75,0.69,1.32,1.22,1.17,1.08,1.4,1.28,1.53,1.22,1.27,5.04
