,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.06,2.12,2.37,1.89,2.07,1.59,0.67,0.57,0.74,0.56,0.56,0.79,0.41,0.49,0.56,0.51
e_1,1.51,1.06,2.28,1.9,2.19,1.96,0.88,0.95,1.04,0.67,0.62,0.78,0.54,1.27,0.66,0.53
c_1,2.13,2.3,1.06,2.88,2.73,2.03,0.92,0.44,0.89,0.75,0.63,0.57,0.47,0.44,0.49,0.48
d_1,2.9,3.17,2.33,1.06,2.3,1.87,1.04,1.28,0.64,0.79,0.77,0.68,0.61,0.76,0.73,0.41
b_1,3.11,2.85,1.61,2.95,1.06,3.4,0.97,0.96,0.87,1.1,1.08,0.83,0.63,0.64,0.67,0.5
a_1,4.29,3.78,3.59,4.22,1.72,1.07,1.54,1.45,1.33,1.1,1.22,0.97,0.81,0.91,1.32,0.87
h_1,6.64,5.57,5.85,4.79,6.53,4.47,1.33,1.65,2.22,1.76,1.54,1.53,1.94,1.47,1.37,1.18
d_0,7.51,3.92,9.22,10.45,6.64,5.12,2.87,1.52,2.66,2.01,1.87,1.66,1.57,2.07,1.72,1.6
g_1,8.58,5.91,7.11,8.02,7.92,6.73,2.16,2.0,1.34,2.11,1.93,1.93,1.29,1.96,1.62,2.11
c_0,8.44,8.09,14.78,4.45,6.91,7.48,2.72,2.99,2.48,1.53,3.02,2.46,1.59,1.86,2.11,1.56
b_0,10.33,7.26,11.47,6.59,16.17,6.41,3.56,2.65,2.85,1.35,1.54,2.43,1.81,2.17,2.44,1.85
f_0,12.44,7.59,9.69,8.42,8.01,7.5,3.33,2.98,2.48,2.15,2.21,1.52,2.05,2.28,2.17,1.22
h_0,12.34,9.62,11.04,8.85,8.76,8.5,6.06,2.98,4.09,3.12,3.13,2.8,2.84,2.49,2.43,2.71
e_0,15.15,13.16,13.41,8.88,10.35,9.21,3.88,2.85,3.48,3.32,3.16,2.1,2.14,1.61,2.35,2.01
a_0,10.97,9.07,13.57,9.79,12.97,12.37,4.75,3.32,4.27,2.87,1.97,3.64,2.81,3.68,1.61,2.71
g_0,15.34,12.81,12.98,12.36,11.45,9.61,3.92,3.55,5.43,3.6,3.15,3.4,1.8,2.66,2.63,3.24
