,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,0.95,1.04,0.91,0.69,0.52,0.49,0.46,0.54,0.41,0.4,0.34,0.35,0.3,0.32
f_1,1.31,1.0,0.93,0.99,0.79,0.69,0.41,0.45,0.37,0.4,0.35,0.37,0.32,0.27,0.25,0.31
d_1,1.06,1.07,1.0,0.8,0.89,0.77,0.54,0.4,0.53,0.42,0.38,0.44,0.34,0.32,0.37,0.27
c_1,0.96,1.01,1.23,1.0,1.27,0.79,0.55,0.47,0.35,0.33,0.41,0.33,0.37,0.38,0.36,0.33
b_1,1.09,1.27,1.16,0.79,1.0,1.21,0.58,0.54,0.53,0.43,0.48,0.42,0.36,0.42,0.33,0.36
a_1,1.46,1.45,1.32,1.26,0.79,1.0,0.74,0.73,0.6,0.72,0.57,0.63,0.53,0.52,0.56,0.48
h_1,1.97,2.38,1.85,1.85,1.7,1.4,1.0,1.15,0.79,0.84,0.73,0.8,0.63,0.72,0.65,0.72
g_1,2.05,2.26,2.51,2.09,1.88,1.34,0.87,1.0,0.92,0.82,1.02,0.83,0.69,0.69,0.71,0.7
c_0,2.32,2.69,1.91,2.72,1.86,1.6,1.23,1.07,1.0,1.13,0.9,1.3,0.94,0.9,0.91,0.78
d_0,1.83,2.36,2.41,3.13,2.33,1.35,1.17,1.19,0.89,1.0,0.85,0.89,0.89,0.95,0.88,0.71
f_0,2.31,3.05,2.51,2.5,2.13,1.75,1.36,0.97,1.13,1.13,1.0,0.98,0.9,0.89,1.16,0.68
b_0,2.53,2.8,2.17,3.08,2.31,1.64,1.19,1.21,0.78,1.1,1.03,1.0,1.22,0.97,0.8,0.84
a_0,2.81,3.09,2.87,2.79,2.86,1.86,1.6,1.48,1.1,1.13,1.15,0.78,1.0,1.06,0.79,0.85
h_0,2.89,3.61,3.1,2.54,2.34,1.93,1.39,1.46,1.14,1.06,1.08,1.04,0.97,1.0,0.87,1.08
e_0,3.2,3.83,2.85,2.81,2.8,1.77,1.54,1.39,1.2,1.17,0.87,1.22,1.16,1.07,1.0,0.92
g_0,3.12,3.28,3.69,3.02,2.77,2.24,1.36,1.39,1.25,1.31,1.54,1.22,1.17,0.92,1.04,1.0
