,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.9,1.04,0.97,0.93,0.9,0.95,0.89,1.03,0.92,0.86,0.83,0.83,1.04,0.86
e_1,0.84,1.0,0.94,1.22,1.0,0.93,1.07,1.2,0.99,1.38,1.03,1.15,1.07,1.19,1.04,1.04
d_1,1.11,1.07,1.0,0.9,0.89,0.85,1.04,0.85,1.28,1.05,1.12,1.0,1.04,1.01,0.83,0.93
c_1,0.95,0.81,1.1,1.0,1.42,1.03,1.02,0.99,0.83,0.72,0.87,1.0,0.99,1.04,0.94,0.96
b_1,1.02,1.0,1.11,0.72,1.0,1.42,0.96,1.0,1.1,0.91,1.0,0.93,1.1,0.9,1.19,1.04
a_1,1.09,1.05,1.15,0.99,0.7,1.0,1.06,1.02,1.05,0.88,1.21,0.97,1.14,0.99,1.13,1.05
h_1,1.11,0.96,1.03,0.96,0.99,0.91,1.0,1.15,0.87,0.99,0.97,0.98,1.06,0.87,1.19,1.02
g_1,1.04,0.86,1.15,1.0,1.0,1.01,0.83,1.0,0.96,0.86,0.96,1.12,0.87,0.94,0.91,1.15
c_0,1.14,1.08,0.77,1.16,0.92,0.91,1.11,1.07,1.0,1.05,1.36,1.04,1.05,1.08,1.04,1.01
d_0,0.97,0.74,0.92,1.44,1.04,1.08,1.04,1.11,0.94,1.0,0.92,1.08,0.99,0.89,0.98,0.98
b_0,1.09,1.01,0.83,1.22,0.97,0.78,1.05,1.06,0.73,1.12,1.0,1.06,1.06,1.64,1.04,1.07
f_0,1.13,0.89,1.0,0.99,1.07,1.08,1.08,0.89,0.97,0.92,0.97,1.0,0.99,0.93,0.79,1.41
h_0,1.17,0.95,0.95,1.03,0.86,0.89,0.97,1.16,0.95,0.99,0.92,1.0,1.0,0.93,1.11,0.9
a_0,1.13,0.88,0.95,0.99,1.26,1.04,1.12,1.02,0.93,1.11,0.65,1.09,1.07,1.0,0.98,1.17
g_0,1.0,0.92,1.2,1.07,0.84,0.84,0.85,1.1,0.92,0.98,0.96,1.26,0.91,1.04,1.0,0.94
e_0,1.11,1.0,1.03,1.01,1.01,1.01,0.9,0.85,0.9,1.0,0.98,0.73,1.1,0.9,1.14,1.0
