,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,6.08,1.28,2.86,1.56,1.26,1.3,5.28,4.28,6.94,5.74,2.96,6.54,9.86,9.83,7.47,4.49
d_1,1.76,6.19,1.47,1.19,1.45,1.16,5.12,6.14,3.89,13.98,8.24,9.93,12.39,11.27,8.53,8.18
e_1,1.58,1.23,6.21,1.7,1.55,1.72,5.4,5.59,12.48,7.18,7.73,8.26,12.23,10.68,7.83,4.58
c_1,1.55,1.48,1.32,6.58,2.95,1.07,5.44,4.78,6.45,2.57,6.45,5.68,10.86,10.6,6.92,7.85
b_1,1.62,1.47,1.39,1.62,7.23,3.01,6.06,5.19,6.54,6.95,7.36,3.54,9.76,11.14,5.6,8.48
a_1,1.62,1.81,1.32,1.73,1.26,11.01,5.18,6.2,7.48,7.5,8.89,8.32,11.27,10.06,2.64,7.7
h_1,2.45,1.88,1.61,2.36,1.74,1.59,16.2,7.88,8.66,8.03,7.81,9.17,6.73,18.67,8.49,11.56
g_1,1.51,3.06,1.66,1.93,1.5,1.81,6.06,19.5,6.63,9.44,13.38,9.67,12.76,7.81,6.82,10.52
d_0,1.8,1.25,1.79,3.56,1.99,1.77,7.64,7.16,15.86,6.2,6.74,8.98,11.77,12.89,10.23,9.37
c_0,1.81,2.12,1.68,1.26,1.58,2.24,7.38,8.57,10.03,17.79,10.84,18.56,15.21,15.04,12.49,12.04
f_0,1.1,2.37,1.47,1.91,2.13,2.1,7.71,9.14,8.45,10.14,18.86,10.73,14.23,13.81,10.71,20.94
b_0,2.03,2.22,1.51,2.32,1.02,1.56,7.37,6.07,9.19,8.45,9.62,18.9,15.88,15.27,21.84,12.02
h_0,2.59,2.15,1.74,1.81,1.95,1.74,3.96,8.83,7.56,8.6,10.08,9.91,8.01,16.84,9.7,8.34
g_0,1.56,2.91,1.75,1.92,1.6,1.85,7.35,4.93,7.62,9.88,14.15,10.18,10.47,7.94,11.21,10.41
a_0,1.85,2.18,1.82,1.78,1.95,1.2,8.17,6.62,9.82,7.88,10.71,9.01,16.06,15.91,27.27,7.6
e_0,1.71,2.3,0.9,2.13,2.13,1.95,8.73,8.42,8.63,8.45,9.93,11.36,15.87,16.74,11.69,27.67
