,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.74,1.59,1.5,1.47,1.26,0.49,0.5,0.6,0.48,0.45,0.52,0.27,0.42,0.43,0.4
e_1,1.24,1.05,1.87,1.64,1.81,1.62,0.68,0.65,0.67,0.51,0.49,0.61,0.39,0.44,0.63,0.4
c_1,1.97,1.54,1.05,2.0,2.02,1.46,0.68,0.35,0.6,0.59,0.48,0.45,0.44,0.46,0.37,0.38
d_1,2.2,2.06,1.85,1.05,1.64,1.48,0.67,0.7,0.5,0.61,0.58,0.49,0.41,0.53,0.4,0.29
b_1,2.3,2.2,1.34,2.3,1.06,2.27,0.88,0.66,0.69,0.72,0.76,0.56,0.54,0.51,0.49,0.43
a_1,3.56,2.59,2.88,2.54,1.55,1.06,1.22,0.86,1.09,0.94,1.02,0.9,0.67,0.92,0.7,0.63
h_1,5.15,4.6,4.86,4.65,4.09,3.49,1.29,1.53,1.77,1.3,1.41,1.19,1.16,1.31,1.25,1.08
d_0,5.59,3.68,7.16,6.6,6.03,4.97,2.26,1.44,2.43,1.57,1.63,1.61,1.53,1.54,1.72,1.28
g_1,6.65,5.82,6.59,5.92,5.62,4.39,1.91,1.65,1.3,1.7,1.72,1.68,1.04,1.59,1.33,1.48
c_0,6.21,6.23,8.55,3.94,5.82,5.25,2.31,2.28,2.2,1.41,2.22,1.94,1.69,1.74,1.59,1.45
b_0,6.64,6.21,7.74,5.15,7.61,4.91,2.4,1.93,2.14,1.11,1.42,1.83,1.5,2.49,1.66,1.43
f_0,8.58,6.35,7.44,7.52,6.79,5.74,3.04,2.27,1.73,2.11,1.93,1.44,1.78,2.22,2.32,1.05
h_0,10.02,7.93,7.49,7.12,6.96,6.49,3.61,2.21,2.81,2.06,2.24,1.81,2.13,1.85,1.87,1.84
a_0,8.35,8.62,8.7,8.0,9.25,8.66,2.93,2.38,2.61,1.99,1.33,1.87,1.94,1.47,1.95,1.84
e_0,10.9,9.11,11.56,9.34,8.84,6.4,3.32,2.35,2.85,2.37,2.46,1.32,2.02,2.38,1.56,1.51
g_0,9.13,9.06,9.55,9.92,8.41,8.19,2.89,2.83,3.66,2.74,2.71,3.11,1.81,2.39,2.65,2.26
