,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.4,0.42,0.59,0.63,0.62,0.62,0.34,0.38,0.27,0.35,0.27,0.35,0.23,0.25,0.33,0.24
f_1,0.65,0.4,0.55,0.61,0.56,0.52,0.27,0.34,0.26,0.28,0.27,0.28,0.17,0.25,0.23,0.23
d_1,0.63,0.63,0.4,0.64,0.54,0.5,0.3,0.23,0.29,0.34,0.28,0.26,0.22,0.23,0.27,0.17
c_1,0.5,0.61,0.69,0.38,0.72,0.54,0.32,0.36,0.29,0.18,0.26,0.26,0.24,0.27,0.23,0.23
b_1,0.55,0.69,0.69,0.39,0.35,0.75,0.33,0.33,0.33,0.25,0.32,0.26,0.25,0.25,0.27,0.25
a_1,0.6,0.66,0.68,0.6,0.34,0.29,0.37,0.33,0.29,0.31,0.37,0.29,0.27,0.3,0.32,0.27
h_1,0.55,0.58,0.54,0.6,0.55,0.53,0.23,0.32,0.25,0.26,0.25,0.24,0.24,0.25,0.25,0.22
g_1,0.58,0.57,0.58,0.57,0.53,0.53,0.25,0.21,0.24,0.25,0.26,0.29,0.2,0.27,0.26,0.24
c_0,0.59,0.61,0.41,0.8,0.58,0.53,0.31,0.29,0.23,0.34,0.31,0.25,0.22,0.25,0.26,0.21
d_0,0.4,0.56,0.68,0.67,0.67,0.52,0.33,0.36,0.24,0.22,0.25,0.26,0.24,0.26,0.24,0.25
b_0,0.56,0.57,0.49,0.71,0.66,0.49,0.32,0.31,0.19,0.3,0.22,0.25,0.23,0.29,0.24,0.22
f_0,0.49,0.65,0.53,0.65,0.65,0.51,0.3,0.23,0.25,0.26,0.26,0.2,0.21,0.27,0.3,0.16
h_0,0.57,0.63,0.57,0.58,0.5,0.42,0.34,0.29,0.24,0.27,0.24,0.25,0.23,0.24,0.24,0.23
a_0,0.57,0.56,0.52,0.58,0.67,0.62,0.3,0.3,0.22,0.24,0.17,0.24,0.21,0.19,0.21,0.19
e_0,0.62,0.8,0.53,0.64,0.6,0.45,0.28,0.26,0.23,0.24,0.25,0.16,0.19,0.26,0.18,0.18
g_0,0.55,0.6,0.61,0.63,0.55,0.48,0.26,0.33,0.24,0.28,0.25,0.28,0.18,0.23,0.24,0.22
