,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.88,0.99,0.88,0.78,0.62,0.62,0.57,0.66,0.58,0.53,0.48,0.47,0.57,0.47
e_1,0.84,1.0,0.92,1.17,0.91,0.78,0.74,0.79,0.64,0.89,0.65,0.71,0.62,0.68,0.57,0.57
d_1,1.13,1.09,1.0,0.88,0.83,0.73,0.74,0.57,0.84,0.69,0.72,0.63,0.62,0.59,0.47,0.52
c_1,0.99,0.85,1.12,1.0,1.35,0.9,0.74,0.67,0.56,0.48,0.57,0.64,0.6,0.62,0.54,0.55
b_1,1.13,1.1,1.2,0.76,1.0,1.31,0.74,0.72,0.78,0.64,0.7,0.64,0.7,0.57,0.72,0.63
a_1,1.3,1.25,1.34,1.13,0.76,1.0,0.87,0.79,0.81,0.68,0.92,0.71,0.79,0.67,0.74,0.69
h_1,1.61,1.39,1.45,1.32,1.3,1.1,1.0,1.08,0.81,0.92,0.88,0.88,0.88,0.72,0.94,0.81
g_1,1.6,1.32,1.73,1.47,1.39,1.3,0.88,1.0,0.95,0.85,0.93,1.06,0.77,0.82,0.77,0.97
c_0,1.78,1.67,1.17,1.72,1.29,1.18,1.19,1.08,1.0,1.05,1.34,0.99,0.95,0.96,0.89,0.86
d_0,1.51,1.15,1.4,2.14,1.46,1.4,1.12,1.12,0.94,1.0,0.9,1.03,0.9,0.79,0.83,0.83
b_0,1.72,1.6,1.28,1.84,1.39,1.03,1.15,1.09,0.75,1.14,1.0,1.04,0.97,1.48,0.91,0.93
f_0,1.83,1.43,1.59,1.54,1.57,1.46,1.21,0.94,1.01,0.96,0.99,1.0,0.93,0.86,0.7,1.25
h_0,2.01,1.64,1.6,1.7,1.34,1.28,1.16,1.3,1.06,1.1,1.0,1.06,1.0,0.92,1.05,0.85
a_0,1.98,1.55,1.62,1.66,2.0,1.53,1.36,1.16,1.05,1.25,0.71,1.18,1.08,1.0,0.94,1.12
g_0,1.82,1.68,2.14,1.86,1.39,1.28,1.07,1.31,1.08,1.15,1.1,1.42,0.96,1.08,1.0,0.94
e_0,2.03,1.81,1.83,1.76,1.67,1.54,1.14,1.01,1.06,1.17,1.13,0.82,1.16,0.94,1.14,1.0
