,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.78,0.08,0.04,0.1,0.08,0.06,0.33,0.29,0.71,0.37,0.38,0.3,0.67,0.36,,0.51
f_1,0.15,5.9,0.08,0.09,0.06,0.08,0.26,0.22,0.36,0.49,,0.4,0.57,0.37,0.45,0.38
d_1,0.07,0.07,6.38,0.07,0.08,0.08,0.33,0.33,,0.76,0.32,0.46,0.77,0.36,0.38,0.41
c_1,0.07,0.06,0.09,6.63,0.12,0.07,0.38,0.22,0.43,,0.34,0.38,0.67,0.43,0.31,0.61
b_1,0.06,0.07,0.09,0.06,6.75,0.14,0.25,0.28,0.41,0.41,0.53,,0.71,0.36,0.38,0.55
a_1,0.08,0.06,0.1,0.07,0.07,9.95,0.31,0.28,0.32,0.47,0.43,0.39,0.57,,0.66,0.39
h_1,0.28,0.39,0.27,0.3,0.34,0.29,14.25,1.21,1.55,1.06,1.02,1.57,,1.08,1.56,4.22
g_1,0.26,0.26,0.44,0.35,0.32,0.26,1.05,17.0,1.21,1.56,2.49,1.61,1.05,1.38,1.07,
d_0,0.32,0.52,,0.62,0.41,0.41,1.59,1.95,12.52,1.64,1.61,1.62,3.19,1.71,1.71,2.87
c_0,0.61,0.44,0.35,,0.26,0.39,1.74,1.33,1.9,12.66,2.14,4.01,2.43,2.1,1.76,2.26
f_0,0.33,,0.33,0.52,0.53,0.37,1.88,1.79,1.89,1.38,14.92,1.37,2.79,1.71,3.37,3.76
b_0,0.42,0.41,0.36,0.46,,0.24,1.3,1.09,1.97,2.32,1.62,15.24,3.79,3.2,2.35,2.81
h_0,0.54,0.91,0.47,0.4,0.54,0.71,,2.91,3.54,2.52,3.22,3.14,,2.32,2.46,6.17
a_0,0.27,0.39,0.32,0.29,0.46,,1.47,1.84,1.51,1.99,1.71,1.97,3.41,23.44,,3.21
e_0,,0.35,0.68,0.31,0.34,,1.8,1.37,1.71,2.81,1.94,,3.45,,22.39,2.98
g_0,0.43,0.5,1.0,0.54,0.6,0.53,1.67,,2.64,3.02,5.01,2.67,4.41,2.21,3.19,
