,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.21,0.84,0.97,0.81,0.64,0.42,0.39,0.39,0.42,0.36,0.33,0.27,0.26,0.31,0.24
e_1,0.83,1.0,0.94,1.11,0.73,0.65,0.53,0.5,0.43,0.59,0.43,0.45,0.37,0.42,0.32,0.32
d_1,1.19,1.08,1.0,0.87,0.79,0.63,0.54,0.38,0.56,0.46,0.45,0.4,0.37,0.34,0.26,0.31
c_1,1.03,0.89,1.15,1.0,1.29,0.78,0.51,0.46,0.36,0.32,0.38,0.42,0.38,0.36,0.32,0.32
b_1,1.23,1.36,1.25,0.78,1.0,1.26,0.55,0.54,0.5,0.46,0.44,0.41,0.43,0.35,0.42,0.36
a_1,1.56,1.55,1.59,1.32,0.78,1.0,0.74,0.61,0.57,0.52,0.72,0.53,0.55,0.54,0.47,0.45
h_1,2.32,1.96,1.95,1.89,1.76,1.38,1.0,1.05,0.75,0.89,0.79,0.81,0.73,0.59,0.74,0.66
g_1,2.62,1.99,2.79,2.15,1.85,1.53,0.92,1.0,0.92,0.86,0.94,0.97,0.72,0.74,0.65,0.82
c_0,2.6,2.45,1.77,2.57,1.92,1.67,1.34,1.14,1.0,0.97,1.34,0.97,0.83,0.83,0.79,0.73
d_0,2.37,1.67,2.26,3.33,2.09,1.89,1.19,1.13,0.98,1.0,0.86,0.98,0.8,0.68,0.76,0.75
b_0,2.63,2.45,1.98,2.76,2.27,1.38,1.26,1.11,0.74,1.2,1.0,1.0,0.88,1.38,0.81,0.75
f_0,3.0,2.19,2.48,2.35,2.41,1.9,1.31,1.03,1.04,1.01,1.05,1.0,0.89,0.81,0.59,1.18
h_0,3.68,2.66,2.64,2.77,2.2,1.8,1.44,1.45,1.21,1.24,1.12,1.11,1.0,0.96,1.06,0.82
a_0,3.82,2.38,2.88,2.71,3.16,2.09,1.69,1.28,1.21,1.46,0.76,1.28,1.02,1.0,0.92,1.06
g_0,3.23,3.12,3.82,3.26,2.39,2.04,1.38,1.56,1.22,1.3,1.27,1.68,0.94,1.06,1.0,0.91
e_0,3.96,3.05,3.14,3.16,2.84,2.22,1.46,1.2,1.26,1.35,1.31,0.83,1.22,0.98,1.19,1.0
