,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10452.11,173.44,355.05,261.26,413.88,937.31,258530.47,471334.09,546851.37,828826.39,1414851.44,,3810797.4,4662637.82,5456535.2,14349190.89
d_1,158.1,14491.51,127.99,234.88,391.36,1375.93,241506.02,,517095.96,1216674.64,1042960.2,1450714.01,6931354.54,7613148.38,9858355.51,14808543.39
e_1,140.82,185.54,14635.59,198.59,404.81,1754.76,161333.07,1071476.55,367721.34,908829.32,1009054.15,1651907.92,6039583.31,5574825.15,,10745344.46
c_1,144.91,195.69,197.69,21821.12,657.72,1697.06,162269.7,529095.62,597459.95,,936842.09,2004022.39,5560637.86,5720695.94,6809186.73,16627272.43
b_1,140.26,229.89,172.7,186.47,37569.49,2572.41,264332.29,570684.73,343041.22,642260.12,,1914512.96,6744502.95,4250696.87,,16061112.92
a_1,158.04,211.07,188.63,195.66,462.72,185782.25,201176.86,707344.33,500221.1,626528.38,838837.49,1867618.23,5271808.61,,,11059557.61
h_1,636.16,461.19,810.3,1117.59,1142.92,4375.25,9867246.09,1811867.0,2265189.89,3914366.19,4143897.43,7326627.59,,22894215.99,40568196.76,71445435.81
d_0,601.14,,792.72,2991.9,2032.94,7238.75,897022.37,17962873.76,1846694.4,3673572.47,6696291.73,7300367.28,25781139.18,33890789.56,40589827.37,84799089.38
g_1,500.93,992.48,526.4,710.13,1735.65,5095.42,819830.54,2722408.9,28623763.19,2252833.76,4028837.96,10073207.08,17647187.52,19383030.59,36508093.98,
c_0,757.18,630.07,1166.99,,1632.42,5391.39,1053332.39,3388869.88,1977151.62,25743842.26,10075832.23,10658307.02,30037919.75,26819317.06,41042949.46,66028804.29
b_0,646.71,1070.52,847.66,1394.66,,4827.65,1092567.04,3548052.96,1980883.27,2758357.19,40573528.59,9005470.36,32209369.48,55636572.25,63857583.08,60640640.62
f_0,,947.21,956.93,1131.63,2538.7,8803.79,1002142.18,3267578.79,2683477.8,3855337.78,6026803.95,77352524.39,21210792.47,29441472.25,51063200.79,68457598.19
h_0,1805.94,1502.78,1245.7,1683.28,2795.3,9396.89,,4352238.14,4880549.48,4898096.63,9100751.7,11993460.53,,32417276.97,81501796.22,121141556.25
a_0,571.17,1100.21,1111.5,1193.26,1482.24,,1038657.48,2698387.64,1657165.24,4395397.24,4872195.19,6551119.06,43548574.41,333215483.84,,83013845.39
e_0,691.01,1150.02,,1443.62,,,1130916.46,3092707.9,1968396.32,5655968.32,4243975.18,9726850.39,38526138.54,,511165619.64,60258378.7
g_0,886.63,1918.25,695.67,2222.74,3185.82,12626.16,1334980.35,3492031.07,,5582389.54,10164736.64,25959247.18,30419960.07,53202472.21,54278945.62,
