,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,5.93,2.54,2.74,1.88,1.97,2.32,7.17,6.92,17.8,10.1,10.4,9.73,10.85,16.01,7.48,16.19
f_1,3.87,6.48,2.25,2.13,1.87,1.92,6.21,7.54,10.32,9.91,9.86,5.02,9.53,15.88,8.37,14.35
c_1,1.88,2.13,6.67,2.11,4.02,2.15,8.4,8.0,10.08,7.5,4.83,11.87,10.76,15.1,11.34,16.69
d_1,1.89,2.3,1.98,6.9,2.19,2.38,9.3,9.23,7.34,12.97,18.61,11.32,11.54,15.25,12.94,14.77
b_1,2.11,2.16,2.15,2.09,7.54,4.39,8.25,7.4,8.82,5.62,9.63,9.64,7.69,16.5,9.71,16.37
a_1,2.16,2.43,2.29,2.58,2.15,9.68,10.16,9.32,9.39,11.18,9.71,9.43,8.27,17.81,11.9,14.17
h_1,2.28,3.66,2.28,2.59,2.55,1.95,17.74,11.28,9.81,10.44,11.45,10.29,11.94,13.76,13.78,22.68
g_1,2.09,2.33,2.48,3.83,2.13,1.97,8.94,21.16,8.64,11.23,11.61,17.85,10.99,16.9,16.28,11.73
d_0,2.2,2.68,4.4,1.69,2.62,2.25,7.98,7.37,17.69,11.34,8.12,10.56,12.56,17.92,13.25,15.94
b_0,2.35,2.63,2.71,2.98,1.66,1.94,9.5,9.02,10.61,19.78,14.26,13.45,28.42,19.69,14.78,19.74
c_0,2.66,2.8,1.96,2.69,1.87,2.4,9.45,8.43,11.53,22.29,19.92,12.44,17.14,20.27,14.36,19.03
f_0,1.84,2.01,2.66,2.72,2.88,2.24,9.43,9.71,10.97,12.48,12.37,22.8,15.65,19.19,28.29,17.54
a_0,2.26,3.0,2.32,2.84,2.78,1.44,8.49,8.39,12.38,11.81,12.01,11.47,25.53,21.48,13.78,22.59
h_0,2.38,3.37,2.39,2.77,2.27,2.21,6.39,11.86,10.02,10.57,10.99,10.68,12.35,12.56,11.21,21.97
e_0,1.69,3.06,2.85,2.72,2.25,1.86,8.65,8.56,11.41,13.2,12.19,12.84,17.6,21.48,28.52,21.58
g_0,2.36,1.89,2.49,3.84,2.26,2.1,8.16,5.81,10.63,13.27,12.02,17.16,15.01,16.44,13.17,14.78
