,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.27,1.02,0.52,0.52,0.44,0.38,1.01,0.89,1.05,1.04,0.48,1.17,1.27,1.0,0.75,1.06
e_1,0.63,2.29,0.51,0.61,0.61,0.35,0.91,1.0,2.19,1.22,1.27,1.16,1.53,0.97,0.55,1.32
d_1,0.65,0.55,2.34,0.47,0.43,0.39,1.0,1.02,0.59,2.28,1.26,1.23,1.64,1.08,1.15,1.32
c_1,0.58,0.56,0.58,2.48,0.94,0.33,0.95,0.93,1.06,0.31,1.17,0.74,1.2,0.89,1.04,1.1
b_1,0.6,0.58,0.57,0.55,2.63,0.89,1.21,0.9,1.38,0.87,0.97,0.45,1.39,0.61,0.92,1.09
a_1,0.7,0.55,0.64,0.48,0.51,3.16,1.2,1.02,0.86,1.18,1.12,1.08,1.59,0.34,0.93,1.23
h_1,1.01,0.6,0.77,0.71,0.57,0.58,3.1,1.5,1.4,1.01,1.13,1.22,0.98,1.09,1.16,1.92
g_1,0.72,0.64,1.03,0.71,0.55,0.51,1.27,3.19,1.2,1.35,1.88,1.21,1.41,1.25,1.15,0.93
d_0,0.69,0.7,0.35,1.36,0.7,0.62,1.22,1.31,2.76,0.87,1.56,1.11,1.56,1.28,0.99,1.4
c_0,0.85,0.74,0.86,0.47,0.47,0.46,1.39,1.17,1.3,2.82,1.33,2.97,1.86,1.59,1.34,1.73
f_0,0.46,0.57,0.88,0.78,0.72,0.57,1.4,1.21,1.46,1.7,2.99,1.15,1.79,1.0,2.58,1.94
b_0,0.83,0.59,0.88,0.81,0.36,0.37,1.28,1.24,1.65,1.44,1.52,3.08,2.11,2.64,1.2,1.81
h_0,1.1,0.72,0.8,0.62,0.48,0.49,0.81,1.73,1.31,1.34,1.22,1.52,1.13,1.26,0.98,2.14
a_0,0.74,0.62,1.02,0.72,0.69,0.24,1.32,1.2,1.29,1.29,1.44,1.25,1.97,3.13,1.37,2.07
e_0,0.83,0.39,0.75,0.71,0.71,0.6,1.66,1.05,1.86,1.44,1.56,1.63,2.22,1.36,3.19,1.33
g_0,0.62,0.61,1.17,0.7,0.64,0.49,1.11,0.91,1.11,1.77,2.27,1.44,1.59,1.35,1.47,1.03
