,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.52,1.15,0.62,0.62,0.58,0.51,0.78,0.91,0.73,0.67,0.86,0.47,0.86,1.03,0.94,0.91
e_1,0.68,2.53,0.53,0.91,0.61,0.53,0.96,1.68,0.89,1.0,1.01,1.0,0.86,0.96,0.96,0.53
d_1,0.7,0.63,2.8,0.42,0.6,0.74,0.87,0.44,0.87,1.79,1.13,1.04,1.1,0.89,0.97,0.98
c_1,0.69,0.57,0.63,2.78,1.17,0.63,0.81,0.77,0.96,0.32,0.66,0.99,1.11,0.95,0.82,0.96
b_1,0.6,0.55,0.67,0.73,3.25,1.23,0.83,0.81,0.89,0.84,0.4,0.92,0.9,0.68,0.96,0.97
a_1,0.68,0.63,0.75,0.65,0.58,4.61,1.11,0.92,0.94,0.93,1.14,0.93,0.97,0.59,0.92,0.91
h_1,1.11,0.66,0.81,0.84,0.75,0.7,2.56,1.07,1.41,1.11,1.06,0.98,0.76,1.01,1.61,1.12
d_0,0.81,0.82,0.46,1.55,0.71,0.57,1.19,2.05,0.87,0.91,1.04,1.34,1.16,1.04,1.33,1.23
g_1,0.83,0.63,1.32,0.8,0.68,0.71,0.97,0.75,3.27,1.05,1.18,1.76,1.09,0.92,0.7,1.09
c_0,0.87,0.87,0.97,0.55,0.48,0.72,1.21,1.22,0.99,2.24,2.51,1.18,1.24,1.62,1.45,1.24
b_0,0.86,0.85,0.97,0.76,0.37,0.44,1.39,1.28,1.21,1.29,2.35,1.24,1.17,2.53,1.31,1.37
f_0,0.51,0.68,0.92,0.83,0.9,0.77,1.36,1.24,1.2,1.3,1.4,2.38,1.27,1.22,1.14,2.45
h_0,1.08,0.72,0.88,0.82,0.87,0.66,0.68,0.95,1.69,0.93,1.15,1.08,0.88,1.13,1.44,0.94
a_0,0.93,0.83,0.85,0.84,0.69,0.52,1.25,1.4,1.15,1.14,1.19,1.34,1.45,2.89,1.13,1.2
g_0,0.72,0.69,1.23,0.87,0.76,0.88,1.04,0.99,0.76,1.02,1.28,1.88,1.14,1.08,0.74,1.17
e_0,0.92,0.49,0.91,0.8,0.82,0.73,1.52,1.07,1.23,1.21,1.38,1.17,1.38,1.04,1.11,3.59
