,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.31,0.86,0.95,0.82,0.75,0.58,0.6,0.62,0.59,0.58,0.59,0.48,0.52,0.42,0.61
e_1,0.76,1.0,1.23,0.88,0.93,0.92,0.71,0.93,0.72,0.62,0.74,0.63,0.71,0.61,0.67,0.53
c_1,1.16,0.81,1.0,1.13,1.39,0.77,0.64,0.45,0.66,0.48,0.58,0.51,0.61,0.48,0.52,0.61
d_1,1.05,1.13,0.88,1.0,0.95,0.8,0.78,0.72,0.57,0.91,0.7,0.75,0.63,0.63,0.56,0.47
b_1,1.22,1.09,0.73,1.03,1.0,1.4,0.77,0.74,0.77,0.68,0.64,0.62,0.68,0.57,0.64,0.6
a_1,1.32,1.09,1.3,1.26,0.71,1.0,0.85,0.87,0.74,0.79,0.71,0.73,0.73,0.7,0.72,0.67
h_1,1.78,1.38,1.59,1.3,1.25,1.1,1.0,0.82,1.12,0.86,0.8,0.93,0.72,0.64,0.76,0.88
d_0,1.62,1.07,2.15,1.5,1.41,1.17,1.18,1.0,1.06,0.92,1.04,0.99,0.88,0.74,0.81,1.13
g_1,1.63,1.39,1.48,1.75,1.29,1.36,0.86,0.92,1.0,0.84,1.18,0.88,0.71,0.86,0.9,0.78
c_0,1.58,1.65,1.91,1.09,1.4,1.19,1.18,1.09,1.18,1.0,0.98,1.45,1.01,0.94,1.07,0.89
f_0,1.72,1.31,1.67,1.47,1.57,1.42,1.27,1.0,0.84,1.06,1.0,1.01,0.97,1.35,0.9,0.75
b_0,1.73,1.59,1.99,1.34,1.64,1.36,1.13,1.02,1.14,0.71,0.95,1.0,0.91,0.83,1.25,0.95
h_0,2.09,1.51,1.7,1.6,1.46,1.37,1.38,1.12,1.34,0.98,0.92,1.06,1.0,0.86,0.92,1.07
e_0,1.94,1.67,2.02,1.62,1.72,1.44,1.54,1.36,1.18,1.02,0.78,1.12,1.19,1.0,1.13,1.01
a_0,2.26,1.65,1.96,1.77,1.59,1.31,1.36,1.18,1.05,0.97,1.16,0.82,1.08,0.89,1.0,1.13
g_0,1.54,1.85,1.69,2.16,1.61,1.46,1.13,0.95,1.28,1.18,1.29,1.1,0.94,0.96,0.94,1.0
