,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.42,3.7,3.87,4.07,4.49,3.24,1.43,1.96,1.94,1.44,1.65,,1.54,0.87,1.5,1.35
e_1,2.5,0.42,4.15,2.87,3.7,3.46,1.99,1.74,1.99,1.49,1.63,1.73,1.9,1.48,1.18,
d_1,3.13,3.59,0.41,3.59,3.54,2.98,2.0,1.02,,2.03,1.77,1.97,1.63,1.75,0.88,1.88
c_1,3.19,5.06,3.49,0.39,4.11,4.52,1.58,1.79,0.94,,1.58,1.37,2.64,1.26,1.45,1.38
b_1,3.26,3.7,3.8,2.16,0.36,5.06,2.25,1.81,1.76,1.58,,1.41,2.01,1.28,1.42,1.42
a_1,3.97,3.76,3.93,3.29,1.95,0.32,2.47,2.58,1.5,2.03,1.47,1.38,,1.86,1.16,
h_1,2.19,1.87,1.77,2.25,1.6,1.32,0.26,0.94,0.77,0.8,0.74,0.8,0.72,,0.71,0.83
g_1,1.77,2.18,2.51,1.73,2.1,1.41,0.84,0.24,0.73,0.75,0.86,0.88,0.69,0.52,,
d_0,1.56,0.94,,2.23,1.63,1.81,0.7,1.27,0.29,0.73,0.63,0.71,0.68,0.78,0.5,0.64
c_0,1.72,1.6,0.98,,2.05,1.47,0.82,0.83,0.64,0.28,1.06,0.67,0.78,0.71,0.59,
b_0,1.44,1.58,1.46,1.7,,1.84,0.88,1.01,0.82,0.39,0.26,0.78,0.83,0.66,0.77,0.63
f_0,,1.41,1.43,1.86,1.41,1.88,0.8,0.7,0.62,0.83,0.83,0.25,0.62,0.51,0.43,
a_0,2.09,1.46,1.9,1.22,1.48,,1.14,1.2,0.71,0.68,0.47,0.94,0.22,0.56,0.77,
h_0,1.52,1.43,0.97,1.2,1.13,1.21,,0.74,0.51,0.56,0.53,0.59,0.5,,0.64,0.65
g_0,1.24,1.61,1.77,1.19,1.23,1.6,0.51,,0.65,0.67,0.49,0.66,0.51,0.34,,0.62
e_0,2.19,,1.26,2.02,1.89,,0.96,,0.75,,0.71,,,0.52,0.57,0.2
