,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.43,0.7,0.58,0.66,0.54,0.34,0.33,0.26,0.37,0.27,0.33,0.25,0.28,0.33,0.26
f_1,0.66,0.4,0.6,0.58,0.52,0.48,0.25,0.29,0.26,0.37,0.28,0.3,0.19,0.26,0.24,0.25
c_1,0.48,0.6,0.39,0.73,0.68,0.54,0.35,0.19,0.29,0.32,0.22,0.26,0.22,0.26,0.26,0.23
d_1,0.66,0.64,0.57,0.39,0.59,0.57,0.29,0.32,0.27,0.23,0.29,0.27,0.21,0.27,0.24,0.16
b_1,0.61,0.67,0.41,0.66,0.35,0.71,0.35,0.26,0.34,0.32,0.32,0.24,0.23,0.25,0.26,0.22
a_1,0.63,0.68,0.6,0.63,0.37,0.31,0.35,0.3,0.28,0.34,0.34,0.26,0.26,0.32,0.24,0.23
h_1,0.56,0.64,0.55,0.56,0.54,0.52,0.23,0.26,0.25,0.34,0.25,0.24,0.23,0.22,0.24,0.22
d_0,0.4,0.54,0.67,0.67,0.66,0.57,0.34,0.23,0.24,0.3,0.27,0.25,0.23,0.24,0.27,0.25
c_0,0.63,0.63,0.69,0.44,0.54,0.51,0.3,0.32,0.22,0.29,0.3,0.25,0.22,0.26,0.25,0.21
g_1,0.57,0.6,0.56,0.61,0.55,0.53,0.23,0.25,0.27,0.2,0.26,0.27,0.2,0.23,0.25,0.24
b_0,0.56,0.57,0.77,0.49,0.71,0.5,0.3,0.26,0.17,0.29,0.21,0.26,0.22,0.27,0.22,0.24
f_0,0.5,0.66,0.6,0.57,0.62,0.59,0.3,0.25,0.25,0.22,0.24,0.2,0.23,0.2,0.27,0.16
h_0,0.54,0.61,0.55,0.59,0.55,0.5,0.36,0.23,0.25,0.31,0.25,0.24,0.23,0.23,0.23,0.21
a_0,0.57,0.61,0.59,0.49,0.64,0.67,0.31,0.25,0.24,0.3,0.18,0.26,0.21,0.19,0.22,0.21
e_0,0.59,0.66,0.56,0.58,0.52,0.52,0.28,0.24,0.25,0.26,0.27,0.16,0.21,0.28,0.18,0.19
g_0,0.57,0.58,0.57,0.57,0.6,0.51,0.27,0.26,0.25,0.31,0.24,0.28,0.18,0.23,0.25,0.22
