,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.93,0.1,0.12,0.07,0.08,,0.08,0.06,0.1,,0.07,0.06,0.07,0.05,0.05,0.05
e_1,0.09,0.93,0.09,0.1,0.07,0.08,0.07,0.06,0.06,0.11,0.07,0.05,0.06,0.06,,0.05
f_1,0.11,0.17,0.93,0.12,0.09,0.07,0.06,0.06,0.07,0.06,0.07,,0.06,0.05,0.04,0.04
c_1,0.14,0.13,0.09,0.93,0.14,0.06,0.09,0.06,,0.06,0.06,0.07,0.06,,,0.07
b_1,0.11,0.12,0.11,0.08,0.93,,0.09,0.07,0.08,0.07,,0.06,0.04,0.05,0.07,0.07
a_1,,0.13,0.13,0.09,,0.93,0.07,0.08,0.06,0.09,0.07,0.09,0.09,,,0.06
h_1,0.28,0.25,0.35,0.23,0.27,0.21,0.71,0.23,0.17,0.19,0.15,0.14,,0.11,0.13,0.2
g_1,0.42,0.27,0.2,0.32,0.27,0.16,0.16,0.71,0.23,0.15,0.19,0.25,0.15,0.12,0.17,
c_0,0.33,0.38,0.39,,0.23,0.25,0.23,0.17,0.56,0.23,0.37,0.21,0.23,0.13,0.14,0.16
d_0,,0.26,0.39,0.53,0.34,0.23,0.25,0.22,0.22,0.57,0.24,0.19,0.2,0.15,0.19,0.17
b_0,0.34,0.42,0.35,0.27,,0.17,0.29,0.19,0.23,0.18,0.58,0.16,0.25,0.31,0.13,0.26
f_0,0.42,0.34,,0.27,0.29,0.27,0.31,0.17,0.25,0.23,0.24,0.57,0.25,0.19,0.27,0.13
h_0,0.43,0.52,0.63,0.44,0.57,0.19,,0.39,0.34,0.32,0.19,0.22,,0.2,0.19,0.31
a_0,0.34,0.34,0.42,,0.28,,0.35,0.23,0.38,0.2,0.18,0.25,0.28,0.56,,0.18
e_0,0.46,,0.41,,0.25,,0.28,0.19,0.29,0.29,0.22,0.22,0.26,,0.58,0.22
g_0,0.75,0.44,0.56,0.35,0.36,0.39,0.32,,0.38,0.28,0.2,0.48,0.21,0.22,0.17,
