,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,0.96,1.17,0.95,0.78,0.8,0.73,0.63,0.86,0.64,0.64,0.65,0.59,0.62,0.58
f_1,1.18,1.0,0.89,1.09,0.83,0.83,0.64,0.72,0.6,0.69,0.62,0.57,0.6,0.51,0.49,0.55
d_1,1.09,1.11,1.0,0.86,0.98,0.8,0.71,0.57,0.83,0.69,0.68,0.63,0.61,0.56,0.52,0.49
c_1,0.85,0.92,1.13,1.0,1.38,0.84,0.71,0.64,0.59,0.47,0.52,0.66,0.46,0.62,0.61,0.6
b_1,1.03,1.18,1.01,0.76,1.0,1.28,0.78,0.68,0.74,0.61,0.79,0.66,0.57,0.59,0.59,0.58
a_1,1.22,1.18,1.25,1.19,0.79,1.0,0.86,0.82,0.73,0.79,0.85,0.71,0.74,0.78,0.59,0.72
h_1,1.28,1.59,1.35,1.37,1.3,1.12,1.0,0.97,0.86,0.86,0.88,0.84,0.79,0.82,0.71,0.93
g_1,1.29,1.41,1.77,1.56,1.51,1.25,1.03,1.0,0.95,0.9,0.99,1.16,0.86,0.77,0.96,0.92
c_0,1.66,1.65,1.25,1.64,1.34,1.31,1.13,1.1,1.0,1.15,1.23,1.02,1.09,0.94,0.91,0.85
d_0,1.18,1.43,1.41,2.11,1.69,1.31,1.17,1.13,0.83,1.0,0.92,1.0,0.77,0.83,0.89,0.94
b_0,1.58,1.62,1.44,1.93,1.31,1.15,1.04,1.02,0.85,1.07,1.0,1.01,1.31,1.05,0.92,0.92
f_0,1.5,1.81,1.67,1.55,1.57,1.38,1.16,0.86,1.01,0.99,0.95,1.0,0.84,1.01,1.22,0.74
a_0,1.51,1.56,1.6,2.22,1.69,1.35,1.27,1.2,0.94,1.21,0.79,1.16,1.0,1.06,0.97,1.13
h_0,1.67,1.87,1.78,1.67,1.69,1.24,1.23,1.33,1.05,1.14,1.03,0.98,0.94,1.0,0.91,1.04
e_0,1.7,1.99,1.84,1.67,1.68,1.62,1.48,1.09,1.17,1.11,1.2,0.86,1.03,1.09,1.0,0.93
g_0,1.69,1.86,2.04,1.65,1.76,1.34,1.08,1.08,1.17,1.06,1.09,1.31,0.9,0.94,1.12,1.01
