,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.37,1.6,1.55,1.45,1.06,0.47,0.48,0.58,0.44,0.45,0.45,0.27,0.4,0.3,0.32
d_1,1.79,1.04,1.68,1.36,1.34,1.31,0.59,0.55,0.42,0.56,0.47,0.44,0.36,0.39,0.42,0.26
e_1,1.17,1.51,1.05,1.81,1.55,1.28,0.59,0.62,0.62,0.45,0.49,0.59,0.36,0.41,0.55,0.39
c_1,1.67,2.19,1.33,1.05,1.96,1.63,0.57,0.32,0.54,0.52,0.41,0.43,0.37,0.4,0.4,0.35
b_1,1.95,1.92,1.89,1.21,1.05,1.64,0.81,0.56,0.69,0.67,0.63,0.49,0.43,0.47,0.45,0.42
a_1,2.92,2.38,2.45,2.16,1.43,1.06,0.97,0.75,0.94,0.69,0.76,0.62,0.63,0.69,0.6,0.45
h_1,4.68,3.97,4.33,4.83,4.0,3.27,1.24,1.31,1.55,1.18,1.23,1.1,1.12,0.98,0.96,1.04
d_0,4.9,6.01,3.4,6.24,5.42,4.38,2.06,1.36,1.88,1.27,1.42,1.44,1.18,1.23,1.32,1.1
g_1,5.36,5.39,4.74,5.2,4.92,3.84,1.63,1.57,1.26,1.56,1.49,1.4,0.99,1.36,1.15,1.28
c_0,5.78,3.63,5.69,6.75,4.66,4.65,2.28,2.34,1.92,1.35,2.01,1.5,1.27,1.42,1.35,1.08
b_0,5.43,5.12,5.29,6.72,7.03,4.45,2.18,1.71,1.95,1.12,1.35,1.59,1.37,1.67,1.6,1.19
f_0,7.42,6.13,5.65,6.61,5.85,5.31,2.33,1.84,1.85,1.64,1.8,1.4,1.46,1.43,1.86,0.98
h_0,7.78,6.71,6.82,7.23,6.39,5.37,2.88,2.14,2.68,1.95,1.93,1.92,1.79,1.6,1.51,1.62
a_0,7.84,7.24,7.28,7.7,9.25,8.22,3.26,2.44,2.58,2.11,1.49,2.19,1.85,1.47,1.84,1.61
e_0,11.29,7.92,8.24,8.56,8.47,6.54,2.99,2.41,2.73,2.27,1.99,1.4,1.99,2.05,1.46,1.44
g_0,9.36,9.07,7.98,8.15,7.61,7.46,2.55,2.6,2.94,2.44,2.33,2.27,1.58,1.83,2.19,1.92
