,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.95,0.44,0.43,0.52,0.41,0.28,0.35,0.27,0.45,0.23,0.25,0.26,0.26,0.21,0.17,0.17
f_1,0.74,0.94,0.4,0.44,0.34,0.27,0.29,0.26,0.31,0.28,0.25,0.16,0.2,0.2,0.16,0.15
d_1,0.47,0.54,0.95,0.35,0.43,0.31,0.33,0.26,0.24,0.44,0.28,0.27,0.3,0.2,0.19,0.18
c_1,0.46,0.48,0.52,0.94,0.64,0.3,0.31,0.26,0.24,0.19,0.18,0.22,0.27,0.23,0.2,0.16
b_1,0.48,0.54,0.47,0.41,0.94,0.5,0.29,0.25,0.31,0.34,0.2,0.27,0.3,0.24,0.18,0.21
a_1,0.56,0.61,0.49,0.57,0.43,0.94,0.42,0.37,0.35,0.25,0.31,0.28,0.32,0.26,0.16,0.21
h_1,0.69,0.91,0.72,0.71,0.61,0.39,0.76,0.51,0.41,0.4,0.39,0.46,0.33,0.45,0.3,0.29
g_1,0.75,0.74,1.02,0.75,0.6,0.42,0.5,0.75,0.38,0.47,0.41,0.6,0.39,0.32,0.35,0.32
d_0,0.68,0.84,0.57,1.24,0.69,0.47,0.54,0.47,0.67,0.35,0.43,0.47,0.45,0.38,0.31,0.33
c_0,0.93,0.8,0.73,0.69,0.55,0.55,0.63,0.48,0.59,0.67,0.81,0.46,0.45,0.48,0.38,0.29
b_0,0.81,0.94,0.85,0.95,0.64,0.48,0.61,0.48,0.53,0.38,0.66,0.43,0.5,0.47,0.59,0.33
f_0,0.68,0.74,0.86,0.91,0.74,0.61,0.51,0.45,0.53,0.53,0.49,0.66,0.55,0.45,0.4,0.59
h_0,0.88,1.33,0.81,0.82,0.67,0.51,0.53,0.62,0.52,0.5,0.43,0.4,0.42,0.52,0.35,0.32
g_0,0.85,0.9,1.33,0.89,0.77,0.56,0.56,0.41,0.53,0.45,0.46,0.62,0.49,0.36,0.31,0.29
a_0,0.98,1.08,0.83,0.95,0.84,0.49,0.66,0.48,0.61,0.6,0.45,0.48,0.6,0.48,0.62,0.33
e_0,0.57,1.05,0.97,1.04,0.82,0.61,0.75,0.54,0.61,0.57,0.54,0.47,0.54,0.53,0.42,0.61
