,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.61,2.19,2.51,2.19,2.04,0.8,0.75,0.87,0.59,0.6,0.71,0.66,0.66,1.07,0.58
f_1,2.18,1.06,1.99,2.52,2.29,1.98,0.6,0.67,0.93,0.59,0.57,0.82,0.4,0.5,0.46,0.57
d_1,3.05,2.69,1.06,2.0,2.17,1.84,0.92,1.4,0.69,0.82,0.75,0.6,0.61,0.55,0.64,0.37
c_1,2.09,2.31,3.14,1.06,2.54,1.91,1.04,0.46,0.87,1.0,0.62,0.66,0.58,0.65,0.6,0.45
b_1,2.96,2.96,2.39,1.89,1.06,2.66,1.23,0.92,0.79,0.84,1.24,0.77,0.52,0.82,0.73,0.68
a_1,3.59,3.61,3.73,4.06,2.2,1.07,1.6,1.27,1.37,1.21,1.31,1.18,1.01,1.55,0.88,0.84
h_1,5.8,7.61,5.82,5.73,5.45,4.93,1.33,1.76,2.21,1.63,1.78,1.42,1.7,1.33,1.12,1.26
d_0,4.59,6.65,8.78,8.25,6.61,5.77,2.79,1.55,2.55,2.05,1.95,2.18,1.59,1.72,1.65,1.81
g_1,6.96,6.85,7.43,7.04,7.61,5.27,2.36,2.22,1.35,2.03,2.12,2.39,1.36,1.74,1.62,2.86
c_0,8.62,7.99,4.69,11.72,7.15,6.91,3.17,2.92,3.08,1.52,2.71,2.37,1.55,2.2,2.01,1.6
b_0,7.72,8.99,7.02,9.18,10.79,5.93,2.97,2.44,2.86,1.53,1.59,1.85,1.66,2.41,2.01,1.58
f_0,8.59,13.29,8.1,7.29,8.33,6.31,3.34,2.4,2.14,2.19,2.4,1.55,1.69,2.3,3.03,1.2
h_0,9.83,10.68,8.02,8.12,9.81,7.64,4.81,2.95,3.47,2.85,2.5,2.92,2.76,2.09,2.06,2.43
a_0,9.68,12.11,11.25,11.11,10.07,13.19,4.04,3.86,3.95,2.98,1.87,2.65,2.6,1.6,2.46,2.69
e_0,12.05,14.52,9.53,11.2,10.34,10.48,4.85,3.68,4.09,3.1,3.45,1.85,2.52,2.81,1.64,2.51
g_0,10.06,11.81,12.77,12.03,9.89,9.18,3.49,2.94,4.93,3.32,3.3,3.55,2.01,2.9,2.61,2.9
